recency,purchase_frequency,avg_order_value,avg_purchase_interval,purchase_regularity,avg_order_value_score,recency_score,avg_purchase_interval_score,purchase_regularity_score,purchase_frequency_score,final_score,score_category
286,300.0,18.99,0.1,10.0,0.0002188348244074033,0.23324396782841816,0.0006254699196914062,0.03364897407677807,0.03364942686768854,7.0,Very Low
2,27.33,19.65,1.0977443609022557,0.910958904109589,0.00022738609640911354,0.9946380697050938,0.007083502962547427,0.003045475165028855,0.003046080668386868,25.0,Low
109,5.23,24.0,5.739130434782608,0.1742424242424242,0.0002837467527840221,0.707774798927614,0.03712549147618386,0.0005648942377320623,0.0005656686281750116,18.0,Very Low
7,24.52,15.45,1.223529411764706,0.8173076923076923,0.00017296891094368468,0.9812332439678284,0.007897663429495543,0.002730144347594305,0.002730697961011514,25.0,Low
290,660.0,29.15,0.0454545454545454,22.0,0.0003504725873428218,0.22252010723860594,0.000272417212409149,0.07405389502130302,0.07405432888018937,7.0,Very Low
3,330.0,15.35,0.0909090909090909,11.0,0.0001716732636706983,0.9919571045576407,0.00056662780181103,0.037016050822155144,0.03701650203539694,26.0,Low
50,16.21,21.23,1.8502994011976048,0.540453074433657,0.00024785732332229877,0.8659517426273459,0.011954515525725745,0.0017979536019003825,0.001798018139556287,22.0,Low
44,135.0,29.97,0.2222222222222222,4.5,0.0003610968949813103,0.8820375335120644,0.0014165695045275744,0.015130051977204129,0.015130513445292324,22.0,Low
71,6.96,24.96,4.307692307692308,0.2321428571428571,0.00029618496660469153,0.8096514745308311,0.027860317864785513,0.0007598494388983759,0.0007598366295128628,21.0,Low
310,420.0,26.04,0.0714285714285714,14.0,0.00031017795715294465,0.16890080428954424,0.0004405375492102238,0.04711728105828639,0.04711772753852215,5.0,Very Low
24,990.0,22.51,0.0303030303030303,33.0,0.0002644416084165247,0.935656836461126,0.00017434701594185568,0.1110917392204509,0.1110921557249818,26.0,Low
10,5.86,26.91,5.117647058823529,0.1954022988505747,0.00032145008842792637,0.9731903485254692,0.03310285768860725,0.0006361411594602608,0.000636377206696888,25.0,Low
314,59.23,21.14,0.5064935064935064,1.9743589743589745,0.000246691240776611,0.1581769436997319,0.0032565531906282256,0.006626024812597914,0.006626403930050135,4.0,Very Low
129,6570.0,18.3,0.0045662100456621,219.0,0.00020989485822379717,0.6541554959785523,7.762024682343302e-06,0.7373680138605878,0.7373681369187446,35.0,Low
81,13.64,21.31,2.2,0.4545454545454545,0.00024889384114068784,0.7828418230563002,0.0142179991500583,0.0015086960527241223,0.0015095720335226005,20.0,Very Low
21,19.02,26.2,1.5769230769230769,0.6341463414634146,0.0003122509927897229,0.9436997319034852,0.010185050916872516,0.002113426022514685,0.0021134008469316404,24.0,Low
4,22.7,21.21,1.3218390804597702,0.7565217391304347,0.0002475981938677015,0.9892761394101877,0.008533985832050468,0.002525473378205581,0.002526428734170538,25.0,Low
184,17.78,18.69,1.6868686868686869,0.592814371257485,0.00021494788258844414,0.5067024128686327,0.010896688496365955,0.001974258106793681,0.00197422840666636,13.0,Very Low
28,8.8,21.68,3.4074074074074074,0.2934782608695652,0.00025368773605073756,0.9249329758713136,0.02203310413965196,0.0009663704504548895,0.0009663505731323114,24.0,Low
337,10.34,40.19,2.9,0.3448275862068966,0.0004935120462805206,0.09651474530831095,0.01874884222684726,0.00113926756968902,0.001139193765074676,3.0,Very Low
15,9.65,27.81,3.11,0.3215434083601286,0.000333110913884804,0.9597855227882037,0.02010809514988395,0.0010608679559259433,0.001061751036217383,24.0,Low
79,960.0,17.18,0.03125,32.0,0.00019538360876634943,0.7882037533512064,0.00018047640322106155,0.10772466247507383,0.1077250805572734,22.0,Low
21,3000.0,4.61,0.01,100.0,3.25207465519587e-05,0.9436997319034852,4.2932952675682294e-05,0.3366858811607153,0.3366861919614447,32.0,Low
71,7.38,24.73,4.0625,0.2461538461538461,0.00029320497787682284,0.8096514745308311,0.02627327805080036,0.0008070255141770108,0.0008069756818607803,21.0,Low
63,5.29,47.13,5.666666666666667,0.1764705882352941,0.0005834299670257768,0.8310991957104558,0.03665646010177507,0.000572396636897341,0.0005724027785104284,22.0,Low
18,13.33,19.35,2.25,0.4444444444444444,0.00022349915459015442,0.9517426273458445,0.014541630798400366,0.0014746851765081925,0.0014747789234562804,24.0,Low
35,38.18,19.13,0.7857142857142857,1.2727272727272727,0.00022064873058958427,0.906166219839142,0.005063846811239779,0.0042635770262144605,0.004263839520708073,23.0,Low
45,2550.0,19.24,0.0117647058823529,85.0,0.00022207394258986932,0.8793565683646113,5.435524614657856e-05,0.2861797299800591,0.2861800644458187,29.0,Low
118,12.46,18.79,2.406779661016949,0.4154929577464789,0.00021624352986143053,0.6836461126005362,0.015556408000828886,0.0013772032989033788,0.0013771337435927367,17.0,Very Low
302,150.0,16.86,0.2,5.0,0.00019123753749279295,0.19034852546916892,0.0012727332163755439,0.01681359034989267,0.016814051029146525,5.0,Very Low
322,330.0,20.51,0.0909090909090909,11.0,0.00023852866295679667,0.13672922252010722,0.00056662780181103,0.037016050822155144,0.03701650203539694,4.0,Very Low
49,150.0,85.54,0.2,5.0,0.0010810880845798542,0.868632707774799,0.0012727332163755439,0.01681359034989267,0.016814051029146525,22.0,Low
148,1620.0,31.67,0.0185185185185185,54.0,0.00038312289862207916,0.6032171581769437,9.807019646729389e-05,0.1818003508733696,0.18180073424685825,20.0,Very Low
21,19.57,32.53,1.5333333333333334,0.6521739130434783,0.00039426546516976223,0.9436997319034852,0.009902910505497381,0.002174126239557538,0.002175130558339628,24.0,Low
49,10.79,22.18,2.779220779220779,0.3598130841121495,0.00026016597241566955,0.868632707774799,0.017967082660722264,0.001189724891203694,0.001189699892590302,22.0,Low
32,13.88,27.51,2.1619047619047618,0.4625550660792951,0.0003292239720658448,0.9142091152815013,0.013971422656083388,0.0015356650294592212,0.0015365086348642677,23.0,Low
78,31.75,101.58,0.944954128440367,1.058252427184466,0.0012889099071668728,0.7908847184986595,0.0060945478669032485,0.0035414237613189356,0.0035421630764292393,20.0,Very Low
308,780.0,26.67,0.0384615384615384,26.0,0.00031834053497275904,0.1742627345844504,0.00022715404480885953,0.08752220200281134,0.08752262955102298,7.0,Very Low
74,19.47,20.11,1.540983606557377,0.648936170212766,0.00023334607386485103,0.8016085790884718,0.009952427916172669,0.002163224510964735,0.0021639069744472665,20.0,Very Low
66,4.22,19.95,7.105263157894737,0.1407407407407407,0.00023127303822807277,0.8230563002680965,0.04596796717688021,0.0004520914982825607,0.000452310430862162,22.0,Low
216,5.81,31.25,5.166666666666667,0.1935483870967742,0.00037768118007553623,0.420911528150134,0.03342014361835438,0.0006298988963060578,0.0006307654147507072,11.0,Very Low
23,68.43,174.95,0.438375350140056,2.281150159744409,0.002239526311356996,0.938337801608579,0.0028156493661744266,0.007659014278595879,0.00765897364814738,24.0,Low
2,16.27,19.01,1.84375,0.5423728813559322,0.00021909395386200063,0.9946380697050938,0.011912123655621058,0.0018044177391439895,0.0018047522898917037,25.0,Low
112,1020.0,19.66,0.0294117647058823,34.0,0.00022751566113641224,0.6997319034852547,0.00016857818085554396,0.11445881596582799,0.1144592308926902,20.0,Very Low
63,870.0,20.7,0.0344827586206896,29.0,0.0002409903927754708,0.8310991957104558,0.0002014008632431777,0.09762343223894258,0.09762385505414818,23.0,Low
15,4.46,17.93,6.733333333333333,0.1485148514851485,0.00020510096331374745,0.9597855227882037,0.04356060193307253,0.00047826752578604236,0.0004792470322038293,25.0,Low
95,5.11,20.6,5.871794871794871,0.1703056768558952,0.00023969474550248444,0.7453083109919572,0.03798417968471689,0.0005516389071544565,0.0005522003275041779,19.0,Very Low
0,10.65,14.87,2.816,0.3551136363636363,0.00016545415676036355,1.0,0.018205141057632584,0.0011739014899735604,0.0011739868751409965,25.0,Low
162,900.0,58.7,0.0333333333333333,30.0,0.0007333363565103037,0.5656836461126005,0.0001939610552353142,0.10099050898431966,0.10099093022185658,17.0,Very Low
77,1080.0,21.59,0.0277777777777777,36.0,0.0002525216535050498,0.7935656836461126,0.00015800198319730627,0.12119296945658214,0.121193381228107,23.0,Low
194,900.0,19.42,0.0333333333333333,30.0,0.00022440610768124485,0.47989276139410186,0.0001939610552353142,0.10099050898431966,0.10099093022185658,15.0,Very Low
21,2.66,26.64,11.258064516129032,0.0888252148997134,0.0003179518407908631,0.9436997319034852,0.07284752615293115,0.00027728793849921484,0.00027722252214132517,25.0,Low
25,34.32,27.06,0.8741496598639455,1.143968871595331,0.000323393559337406,0.9329758713136729,0.005636256529395819,0.0038300376079911658,0.003830609182462926,24.0,Low
8,8.17,38.66,3.670103092783505,0.2724719101123595,0.0004736886430038286,0.9785522788203753,0.02373343689306428,0.0008956404553150678,0.000895641994610435,25.0,Low
42,330.0,23.31,0.0909090909090909,11.0,0.0002748067866004159,0.8873994638069705,0.00056662780181103,0.037016050822155144,0.03701650203539694,23.0,Low
35,20.86,27.61,1.4382978723404256,0.6952662721893491,0.0003305196193388312,0.906166219839142,0.009287780847655717,0.002319221519941037,0.002319914790551089,23.0,Low
42,25.12,46.85,1.1944444444444444,0.8372093023255814,0.0005798021546614149,0.8873994638069705,0.007709407111178913,0.0027971545958811028,0.0027980394643656826,22.0,Low
0,33.87,31.85,0.8857142857142857,1.1290322580645162,0.0003854550637134547,1.0,0.0057111101079239165,0.0037797448839168753,0.0037801030549472993,25.0,Low
84,8.57,16.12,3.5,0.2857142857142857,0.0001816497476726936,0.774798927613941,0.022632422006952087,0.0009402285502578624,0.0009405363301798804,20.0,Very Low
79,5.74,217.5,5.222222222222222,0.1914893617021276,0.00279082422601271,0.7882037533512064,0.033779734338734456,0.0006229659997816024,0.0006229089060260545,20.0,Very Low
99,480.0,31.81,0.0625,16.0,0.0003849368048042601,0.7345844504021448,0.0003827461834348546,0.053851434549040546,0.053851877873938955,20.0,Very Low
1,18.15,24.88,1.6532663316582914,0.6048632218844985,0.0002951484487863024,0.9973190348525469,0.010679192784267636,0.0020148275115484202,0.0020157556670680967,25.0,Low
13,23.52,29.66,1.2755102040816326,0.784,0.0003570803884350524,0.9651474530831099,0.008234116019488617,0.002617994791382899,0.0026184621220879008,24.0,Low
366,330.0,15.78,0.0909090909090909,11.0,0.0001772445469445398,0.018766756032171594,0.00056662780181103,0.037016050822155144,0.03701650203539694,1.0,Very Low
2,360.0,14.34,0.0833333333333333,12.0,0.00015858722621353563,0.9946380697050938,0.000517592703577383,0.04038312756753223,0.04038357720310534,26.0,Low
20,35.44,28.44,0.8465909090909091,1.1812080536912752,0.00034127349170461833,0.9463806970509383,0.005457878850617298,0.0039554247920432824,0.0039563133220573725,24.0,Low
21,120.0,33.35,0.25,4.0,0.0004048897728082507,0.9436997319034852,0.0015963648647176127,0.013446513604515589,0.013446975861438124,24.0,Low
57,1710.0,17.58,0.0175438596491228,57.0,0.00020056619785829505,0.8471849865951743,9.176158733781894e-05,0.19190158110950084,0.19190195974998345,26.0,Low
242,780.0,18.33,0.0384615384615384,26.0,0.00021028355240569304,0.3512064343163539,0.00022715404480885953,0.08752220200281134,0.08752262955102298,11.0,Very Low
43,660.0,20.43,0.0454545454545454,22.0,0.00023749214513840754,0.8847184986595175,0.000272417212409149,0.07405389502130302,0.07405432888018937,24.0,Low
21,34.94,21.29,0.8586387434554974,1.1646341463414631,0.00024863471168609056,0.9436997319034852,0.005535860060504576,0.003899619174025696,0.0039001954025955662,24.0,Low
155,14.12,24.74,2.125,0.4705882352941176,0.00029333454260412143,0.5844504021447721,0.013732551677545194,0.0015627133267141291,0.0015634452362059347,15.0,Very Low
10,33.93,25.52,0.884180790960452,1.1309904153354633,0.0003034405913334154,0.9731903485254692,0.005701184359225774,0.003786338149727672,0.0037868372052827165,25.0,Low
16,660.0,19.57,0.0454545454545454,22.0,0.00022634957859072447,0.9571045576407506,0.000272417212409149,0.07405389502130302,0.07405432888018937,26.0,Low
133,1290.0,16.44,0.0232558139534883,43.0,0.00018579581894625008,0.6434316353887399,0.00012873297107334657,0.14476250667422172,0.14476290740206582,20.0,Very Low
55,450.0,235.22,0.0666666666666666,15.0,0.0030204129227859007,0.8525469168900804,0.0004097154874633599,0.05048435780366346,0.05048480270623055,23.0,Low
72,12.11,27.41,2.477777777777778,0.4035874439461883,0.0003279283247928584,0.806970509383378,0.01601595275195868,0.0013371165202446544,0.001337851199969472,21.0,Low
43,17.86,25.45,1.68,0.5952380952380952,0.0003025336382423249,0.8847184986595175,0.01085223000730078,0.001982418971446006,0.0019832072737802488,22.0,Low
65,10.81,38.12,2.774193548387097,0.3604651162790697,0.000466692147729702,0.8257372654155496,0.017934543240696252,0.0011919203335501688,0.0011919446093687745,21.0,Low
70,5.35,24.93,5.605263157894737,0.1784037558685446,0.0002957962724227956,0.8123324396782842,0.036259017726618145,0.0005789057606801744,0.0005791369288458451,21.0,Low
93,17.5,23.63,1.7142857142857142,0.5833333333333334,0.0002789528578739724,0.7506702412868633,0.0110741488518782,0.0019423347244772314,0.001942802371767748,19.0,Very Low
18,6.55,19.19,4.580645161290323,0.2183098591549295,0.00022142611895337617,0.9517426273458445,0.029627041503377447,0.0007132726730543769,0.0007138199355541812,24.0,Low
52,13.24,16.2,2.265060240963856,0.4414893617021276,0.0001826862654910827,0.8605898123324397,0.014639110210551596,0.0014647351861258723,0.001464677697953155,22.0,Low
9,2.91,41.79,10.310344827586206,0.0969899665551839,0.000514242402648303,0.9758713136729222,0.06671328445354421,0.00030477928393012857,0.0003052814818722285,26.0,Low
16,9.28,15.79,3.234042553191489,0.3092105263157895,0.00017737411167183844,0.9571045576407506,0.020910977068962357,0.0010193421955909704,0.0010202237758156459,24.0,Low
187,8.91,19.2,3.3684210526315788,0.296875,0.00022155568368067475,0.49865951742627346,0.021780759774472958,0.0009778075317910886,0.000978696515413909,13.0,Very Low
1,38.12,43.1,0.7869565217391304,1.270718232044199,0.0005312153819244248,0.9973190348525469,0.005071887349086787,0.0042568124320499666,0.004257105370372656,25.0,Low
31,30.27,19.39,0.991150442477876,1.0089285714285714,0.00022401741349934893,0.9168900804289544,0.006393559652088986,0.0033753465536109292,0.0033760540348222916,23.0,Low
28,31.11,23.44,0.9642857142857144,1.037037037037037,0.00027649112805529826,0.9249329758713136,0.006219674126747169,0.0034699899145094254,0.0034703321395181267,23.0,Low
16,40.77,17.4,0.7358490566037735,1.358974358974359,0.0001982340327669195,0.9571045576407506,0.0047410874853999795,0.004553977584673556,0.0045545303435202324,24.0,Low
53,1080.0,20.09,0.0277777777777777,36.0,0.00023308694441025375,0.8579088471849866,0.00015800198319730627,0.12119296945658214,0.121193381228107,24.0,Low
15,20.26,29.26,1.48068669527897,0.6753623188405797,0.00035189779934310684,0.9597855227882037,0.009562148140433342,0.0022522033814793255,0.0022525732871969215,24.0,Low
22,32.37,44.07,0.9266666666666666,1.079136690647482,0.0005437831604723929,0.9410187667560321,0.005976179838946945,0.0036117426791695845,0.0036117492965618793,24.0,Low
3,1080.0,18.92,0.0277777777777777,36.0,0.00021792787131631286,0.9919571045576407,0.00015800198319730627,0.12119296945658214,0.121193381228107,28.0,Low
10,930.0,17.01,0.032258064516129,31.0,0.0001931810084022726,0.9731903485254692,0.0001870012348408611,0.10435758572969675,0.10435800538956498,27.0,Low
27,15.05,21.31,1.9935064935064932,0.501628664495114,0.00024889384114068784,0.9276139410187667,0.012881442472489752,0.0016672288340433277,0.0016678245664048955,23.0,Low
22,19.04,25.79,1.576036866359447,0.6345029239766082,0.0003069388389704787,0.9410187667560321,0.010179314801162803,0.0021146266632026674,0.0021156455637101126,24.0,Low
16,6.99,33.13,4.293333333333333,0.2329192546583851,0.00040203934880768063,0.9571045576407506,0.02776737749397958,0.0007624636289180788,0.0007632037046805712,25.0,Low
32,34.26,13.13,0.8757225433526011,1.141914191419142,0.00014290989421040018,0.9142091152815013,0.0056464372269174916,0.003823119342150733,0.0038238750321275086,23.0,Low
9,25.38,23.61,1.181818181818182,0.8461538461538461,0.0002786937284193751,0.9758713136729222,0.007627681947456171,0.002827271561403259,0.002827220782485822,25.0,Low
335,450.0,22.33,0.0666666666666666,15.0,0.0002621094433251491,0.10187667560321712,0.0004097154874633599,0.05048435780366346,0.05048480270623055,4.0,Very Low
4,22.69,22.11,1.3224489795918368,0.7561728395061729,0.00025925901932457907,0.9892761394101877,0.00853793348527913,0.002524298606394258,0.002525306375781302,25.0,Low
38,780.0,17.71,0.0384615384615384,26.0,0.00020225053931317738,0.8981233243967829,0.00022715404480885953,0.08752220200281134,0.08752262955102298,25.0,Low
62,14.29,13.16,2.1,0.4761904761904761,0.00014329858839229608,0.8337801608579088,0.01357073585337416,0.0015815765017582583,0.0015825253288229491,21.0,Low
165,21.29,19.72,1.4090909090909092,0.7096774193548387,0.00022829304950020403,0.5576407506702412,0.009098734894465573,0.002367744958436164,0.002368176201288243,14.0,Very Low
15,6.62,16.18,4.532467532467533,0.2206303724928366,0.00018242713603648541,0.9597855227882037,0.02931520539479481,0.0007210860195517812,0.0007216764442788342,25.0,Low
81,420.0,74.51,0.0714285714285714,14.0,0.0009381781903694539,0.7828418230563002,0.0004405375492102238,0.04711728105828639,0.04711772753852215,21.0,Low
20,19.17,17.55,1.565217391304348,0.6388888888888888,0.00020017750367639915,0.9463806970509383,0.01010928431023725,0.002129394543664847,0.0021302362227701827,24.0,Low
22,5.9,69.8,5.081967213114754,0.1967741935483871,0.0008771532038117941,0.9410187667560321,0.03287191514302082,0.000640760434194371,0.0006408666402538326,24.0,Low
336,4470.0,14.56,0.0067114093959731,149.0,0.0001614376502141057,0.09919571045576403,2.1647112717612982e-05,0.5016726416841922,0.5016728751791564,15.0,Very Low
95,20.61,25.33,1.45578231292517,0.6869158878504673,0.0003009788615147412,0.7453083109919572,0.009400951214191313,0.0022911051350186272,0.002291855830820186,19.0,Very Low
17,22.5,53.56,1.3333333333333333,0.75,0.0006667400866788027,0.9544235924932976,0.008608383912129104,0.0025035141820400784,0.002503981566385815,24.0,Low
232,690.0,3.2,0.0434782608695652,23.0,1.4252120002850429e-05,0.37801608579088475,0.0002596254476525457,0.0774209717666801,0.07742140404789777,11.0,Very Low
133,3.84,62.13,7.809523809523809,0.1280487804878048,0.0007777770579737373,0.6434316353887399,0.05052638788786373,0.00040935669406165005,0.00040966081207118894,17.0,Very Low
25,1035.0,5.77,0.0289855072463768,34.5,4.755025491860095e-05,0.9329758713136729,0.00016581917277078663,0.11614235433851652,0.1161427684765444,26.0,Low
283,210.0,25.21,0.1428571428571428,7.0,0.00029942408478715756,0.24128686327077742,0.000902868475413179,0.02354774384064683,0.02354820136456333,7.0,Very Low
142,5.44,29.77,5.515151515151516,0.1813186813186813,0.0003585056004353375,0.6193029490616622,0.03567575813710214,0.0005887205383778376,0.0005892381543489704,16.0,Very Low
65,1020.0,4.06,0.0294117647058823,34.0,2.539468655053348e-05,0.8257372654155496,0.00016857818085554396,0.11445881596582799,0.1144592308926902,24.0,Low
112,1050.0,17.49,0.0285714285714285,35.0,0.00019940011531260728,0.6997319034852547,0.00016313899348845026,0.11782589271120507,0.1178263060603986,20.0,Very Low
266,1530.0,19.95,0.0196078431372549,51.0,0.00023127303822807277,0.28686327077747986,0.00010512099490611905,0.17169912063723836,0.17169950874373302,11.0,Very Low
352,480.0,23.98,0.0625,16.0,0.0002834876233294248,0.05630026809651478,0.0003827461834348546,0.053851434549040546,0.053851877873938955,3.0,Very Low
77,7.65,50.46,3.923076923076923,0.2549019607843137,0.0006265750212162242,0.7935656836461126,0.025370843646769593,0.0008364810875151513,0.000837279358370156,20.0,Very Low
27,52.92,8.81,0.5669014084507042,1.763975155279503,8.69379320173876e-05,0.9276139410187667,0.003647551368294106,0.0059176463477718065,0.005918195786442135,23.0,Low
0,34.13,16.59,0.8790322580645161,1.1376146788990826,0.00018773928985572967,1.0,0.005667859795472673,0.0038086425535279835,0.0038092843730674394,25.0,Low
63,540.0,18.94,0.0555555555555555,18.0,0.00021818700077091014,0.8310991957104558,0.00033779734338734463,0.060585588039794705,0.060586028209355755,22.0,Low
78,23.51,17.33,1.2763157894736843,0.7835051546391752,0.00019732707967582902,0.7908847184986595,0.008239330278054817,0.0026163286090759084,0.002617339763698665,20.0,Very Low
142,1140.0,15.78,0.0263157894736842,38.0,0.0001772445469445398,0.6193029490616622,0.00014853906950309414,0.1279271229473363,0.1279275315635238,19.0,Very Low
38,30.0,16.06,1.0,1.0,0.00018087235930890172,0.8981233243967829,0.0064508395898486455,0.0033452833683843483,0.003345750358312916,23.0,Low
18,10.19,16.88,2.943396226415094,0.3397435897435897,0.00019149666694739023,0.9517426273458445,0.019029730072578112,0.00112214936342384,0.0011223583892361342,24.0,Low
8,13.33,31.15,2.25,0.4444444444444444,0.0003763855328025498,0.9785522788203753,0.014541630798400366,0.0014746851765081925,0.0014747789234562804,25.0,Low
0,22.9,18.54,1.3098591549295775,0.7634408602150538,0.0002130044116789645,1.0,0.008456444171123439,0.0025487705899080496,0.0025488759019552604,25.0,Low
81,2.22,19.37,13.5,0.074074074074074,0.00022375828404475165,0.7828418230563002,0.08735875167536586,0.00022761971525742198,0.00022783875301493525,21.0,Low
8,9.11,21.02,3.2934782608695654,0.3036303630363036,0.0002451364640490273,0.9785522788203753,0.02129568258988702,0.0010005533575772065,0.0010011436831986317,25.0,Low
59,7.15,25.19,4.196969696969697,0.2382671480144404,0.0002991649553325603,0.8418230563002681,0.027143651044447593,0.0007804703962740092,0.0007811614389083494,22.0,Low
14,510.0,7.37,0.0588235294117647,17.0,6.82806112863834e-05,0.9624664879356568,0.0003589497387038201,0.05721851129441763,0.057218953041647355,26.0,Low
29,480.0,21.86,0.0625,16.0,0.00025601990114211304,0.9222520107238605,0.0003827461834348546,0.053851434549040546,0.053851877873938955,24.0,Low
130,1890.0,17.29,0.0158730158730158,63.0,0.00019680882076663448,0.6514745308310992,8.094682883014705e-05,0.2121040415817633,0.21210441075623387,22.0,Low
91,10.85,21.07,2.764705882352941,0.3617021276595745,0.0002457842876855205,0.7560321715817695,0.017873133060745193,0.0011960854458032332,0.0011964340429257189,19.0,Very Low
42,522.0,48.28,0.057471264367816,17.4,0.0005983299106651204,0.8873994638069705,0.00035019702340045053,0.05856534199256845,0.058565783108730715,24.0,Low
28,630.0,17.33,0.0476190476190476,21.0,0.00019732707967582902,0.9249329758713136,0.0002864272404759054,0.07068681827592595,0.07068725371248097,25.0,Low
21,26.33,20.4,1.1391941391941391,0.8778135048231511,0.00023710345095651156,0.9436997319034852,0.007351792163987738,0.0029338720618752516,0.0029338448294632543,24.0,Low
19,41.93,28.03,0.7154811715481172,1.3976608187134505,0.0003359613378853741,0.9490616621983914,0.004609253641123903,0.004684237863622018,0.004684723916671623,24.0,Low
29,6.22,18.87,4.826923076923077,0.2071713147410358,0.00021728004767981965,0.9222520107238605,0.03122110805910699,0.0006757683391810057,0.0006767821087093888,24.0,Low
35,570.0,19.62,0.0526315789473684,19.0,0.00022699740222721767,0.906166219839142,0.0003188715159989198,0.06395266478517178,0.06395310337706415,24.0,Low
74,8.15,20.01,3.68,0.2717391304347826,0.00023205042659186467,0.8016085790884718,0.023797495940983536,0.0008931731299032138,0.0008933972778319627,21.0,Low
46,66.77,16.83,0.4492753623188406,2.225806451612903,0.00019084884331089703,0.8766756032171582,0.0028862011443418004,0.007472667765943348,0.00747266215553418,22.0,Low
197,2.93,25.98,10.25,0.0975609756097561,0.00030940056878915286,0.4718498659517426,0.06632269453313137,0.0003067019152391784,0.0003075261986507008,13.0,Very Low
165,150.0,19.04,0.2,5.0,0.0002194826480438965,0.5576407506702412,0.0012727332163755439,0.01681359034989267,0.016814051029146525,14.0,Very Low
78,1710.0,16.93,0.0175438596491228,57.0,0.00019214449058388344,0.7908847184986595,9.176158733781894e-05,0.19190158110950084,0.19190195974998345,25.0,Low
357,300.0,16.8,0.1,10.0,0.00019046014912900113,0.04289544235924936,0.0006254699196914062,0.03364897407677807,0.03364942686768854,2.0,Very Low
38,600.0,21.89,0.05,20.0,0.000256408595324009,0.8981233243967829,0.0003018382713493374,0.06731974153054887,0.06732017854477257,24.0,Low
7,17.85,19.33,1.6806282722513088,0.5950155763239875,0.00022324002513555709,0.9812332439678284,0.010856296582986756,0.0019816697331849075,0.0019820849153910133,25.0,Low
49,36.3,4.99,0.8264462809917356,1.21,3.744420618930703e-05,0.868632707774799,0.005327490066677828,0.004052369484913535,0.004052836143531679,22.0,Low
15,2.79,363.36,10.757575757575758,0.0929577464788732,0.004680655338390677,0.9597855227882037,0.06960804611478572,0.0002912024894789402,0.0002918131812013949,26.0,Low
7,330.0,24.54,0.0909090909090909,11.0,0.00029074324805814867,0.9812332439678284,0.00056662780181103,0.037016050822155144,0.03701650203539694,25.0,Low
310,78.75,26.75,0.3809523809523809,2.625,0.00031937705279114816,0.16890080428954424,0.002443971562756364,0.008816783079622104,0.00881724750583907,5.0,Very Low
4,22.99,20.32,1.3047619047619048,0.7664233576642335,0.0002360669331381225,0.9892761394101877,0.008423451541647923,0.0025588128877123296,0.0025589771274583855,25.0,Low
302,480.0,14.93,0.0625,16.0,0.0001662315451241554,0.19034852546916892,0.0003827461834348546,0.053851434549040546,0.053851877873938955,6.0,Very Low
7,26.53,22.51,1.130952380952381,0.8842105263157894,0.0002644416084165247,0.9812332439678284,0.007298446287887397,0.0029554113241827915,0.0029562919972479776,25.0,Low
