purchase_number,total_orders,avg_order_amount,avg_days_gap_between_purchases
142,721,17.81,1.17
143,713,17.51,1.23
144,704,19.54,1.34
145,696,18.77,0.98
146,688,23.77,0.73
147,684,22.15,0.84
148,680,21.45,1.15
149,676,22.94,0.97
150,668,20.45,0.87
151,667,20.97,0.69
152,663,21.52,1.07
153,655,20.62,0.55
154,649,20.43,0.56
155,646,20.63,0.86
156,636,20.3,0.58
157,632,22.24,1.02
158,626,21.31,1.1
159,622,23.31,1.21
160,616,19.23,0.72
161,610,21.82,1.48
162,607,23.69,1.27
163,601,22.92,0.88
164,599,23.6,0.46
165,594,27.32,0.31
166,587,24.95,0.6
167,578,20.57,0.87
168,572,24.36,0.83
169,568,21.47,0.6
170,565,22.12,1.37
171,560,19.66,0.68
172,557,20.32,0.86
173,551,20.02,1.0
174,550,17.27,0.58
175,546,20.53,0.8
176,542,21.07,0.64
177,537,21.55,1.07
178,535,23.35,0.69
179,531,20.76,0.89
180,527,18.89,1.47
181,522,19.76,0.81
182,519,21.12,0.47
183,514,22.67,0.67
184,511,23.2,0.64
185,511,24.63,0.86
186,508,25.14,1.14
187,506,28.54,1.17
188,503,22.1,0.76
189,499,26.41,1.23
190,498,23.93,1.31
191,496,28.05,0.86
192,490,24.08,0.86
193,485,26.74,0.6
194,480,23.34,0.6
195,475,28.11,0.91
196,472,30.74,0.89
197,469,25.13,1.34
198,464,25.87,0.86
199,462,25.51,0.53
200,457,23.06,0.81
201,453,20.62,1.47
202,450,19.52,0.82
203,446,18.7,0.9
204,444,20.45,0.61
205,443,20.71,0.67
206,443,20.97,0.62
207,437,21.69,0.82
208,435,20.96,0.63
209,428,19.32,0.81
210,426,21.95,0.29
211,422,21.01,0.62
212,419,20.69,0.93
213,416,20.27,0.53
214,411,20.27,0.36
215,407,22.93,1.09
216,402,18.04,0.37
217,398,18.03,0.81
218,395,20.64,0.55
219,392,20.57,0.71
220,389,19.0,0.66
221,388,29.08,0.83
222,387,23.46,0.85
223,383,22.69,0.68
224,382,20.31,0.35
225,380,21.64,0.69
226,377,26.19,0.77
227,375,24.87,0.75
228,372,26.05,0.68
229,370,32.45,0.74
230,368,24.66,0.55
231,366,26.41,1.49
232,366,26.05,0.54
233,364,30.95,0.86
234,363,33.31,0.87
235,361,39.84,0.33
236,353,24.82,1.24
237,352,23.28,0.22
238,345,21.19,0.79
239,343,24.16,0.86
240,343,18.29,0.32
241,341,19.13,0.39
242,340,19.02,1.04
243,337,24.86,1.67
244,335,24.74,0.8
245,335,27.34,0.62
246,333,22.29,0.71
247,333,19.69,1.33
248,331,18.34,1.07
249,330,18.64,0.22
250,327,19.53,0.78
251,325,19.74,0.59
252,324,19.07,0.55
253,322,17.63,0.97
254,318,18.37,0.67
255,318,18.22,0.39
256,316,18.74,1.29
257,314,22.95,0.58
258,314,20.47,0.28
259,311,19.06,0.24
260,306,32.48,0.94
261,304,31.86,0.44
262,302,18.18,0.34
263,301,20.08,0.36
264,301,19.57,0.91
265,301,20.16,0.71
266,299,18.3,0.77
267,297,20.89,0.42
268,295,22.03,0.89
269,293,22.28,0.39
270,291,21.62,0.5
271,286,25.05,0.61
272,283,21.88,0.24
273,282,21.42,0.59
274,280,20.85,1.29
275,276,19.54,0.95
276,276,19.3,0.4
277,274,30.98,1.18
278,272,17.4,0.71
279,271,20.18,0.54
280,269,15.39,1.01
281,268,16.51,0.66
282,266,21.57,1.04
283,265,22.91,0.75
284,265,20.14,0.75
285,262,16.47,0.65
286,261,19.65,0.46
287,258,20.07,1.12
288,258,19.84,0.99
289,257,18.43,0.63
290,257,17.63,0.58
291,256,21.68,0.3
292,255,18.21,0.46
293,253,23.57,0.47
294,251,21.78,0.52
295,248,25.88,0.72
296,247,16.17,0.68
297,244,17.17,0.74
298,241,19.4,0.62
299,241,18.63,0.83
300,240,21.41,0.58
301,239,21.13,0.82
302,238,21.83,0.66
303,235,23.56,0.27
304,235,24.64,0.26
305,232,21.21,0.45
306,230,21.8,0.52
307,229,22.28,0.31
308,228,25.67,0.53
309,226,19.77,0.68
310,226,19.27,0.77
311,223,24.8,0.4
312,223,19.29,0.26
313,220,21.01,0.43
314,220,23.44,0.62
315,217,23.74,0.21
316,216,18.76,0.17
317,213,18.39,0.42
318,213,29.4,0.39
319,212,24.19,0.24
320,209,18.43,0.33
321,208,23.4,0.07
322,206,20.24,0.14
323,206,23.65,0.45
324,205,24.38,0.58
325,203,17.73,0.51
326,203,16.2,0.39
327,203,17.99,0.93
328,200,19.75,0.11
329,199,19.74,0.37
330,197,19.6,0.24
331,194,27.61,0.48
332,194,18.29,0.15
333,194,20.98,0.6
334,193,19.38,0.36
335,192,25.85,0.26
336,191,23.09,0.72
337,189,18.45,0.37
338,188,21.66,0.6
339,186,19.72,0.65
340,183,21.41,0.96
341,183,18.14,0.34
342,182,23.36,0.31
343,181,19.05,1.41
344,180,23.71,1.51
345,179,16.67,0.57
346,179,22.73,1.02
347,178,23.64,0.72
348,177,25.8,0.46
349,177,26.65,0.07
350,175,22.37,0.45
351,173,20.93,0.12
352,173,19.27,0.69
353,173,19.1,0.86
354,173,20.96,0.37
355,170,40.12,0.09
356,169,41.38,0.61
357,169,35.91,0.46
358,167,39.65,0.52
359,166,33.6,0.55
360,166,39.58,0.16
361,164,38.37,0.2
362,164,23.38,0.64
363,164,22.09,0.57
364,164,20.89,1.2
365,162,18.3,0.64
366,162,17.06,1.14
367,160,17.79,0.28
368,160,21.19,0.43
369,159,22.72,0.6
370,158,19.48,0.85
371,157,18.69,0.51
372,155,23.35,0.3
373,154,23.54,0.62
374,154,20.2,0.98
375,154,20.58,0.25
376,154,20.29,0.08
377,154,20.48,0.45
378,154,17.33,0.1
379,152,22.3,0.34
380,152,18.21,0.39
381,152,24.09,0.51
382,152,24.75,0.28
383,148,19.55,0.93
384,147,16.72,0.44
385,147,16.98,0.22
386,145,22.88,0.08
387,145,17.06,0.57
388,145,15.89,0.79
389,144,15.61,0.77
390,144,21.89,0.18
391,143,22.68,0.85
392,143,20.34,0.65
393,143,22.22,0.85
394,143,21.57,0.3
395,141,27.28,0.51
396,141,23.28,0.37
397,141,18.39,0.14
398,141,24.66,0.05
399,141,21.37,0.87
400,140,18.96,0.61
401,139,31.74,0.58
402,139,20.86,0.63
403,138,17.67,0.51
404,136,22.24,0.49
405,135,17.46,0.95
406,135,19.52,0.4
407,135,21.25,0.8
408,133,18.62,0.53
409,132,21.06,0.08
410,132,17.38,0.09
411,131,17.58,0.45
412,128,18.03,0.52
413,127,18.84,0.26
414,127,20.82,0.25
415,127,18.9,0.28
416,126,20.5,0.06
417,126,17.89,0.37
418,126,18.55,0.07
419,124,19.03,0.19
420,124,23.47,0.51
421,122,24.46,0.92
422,121,44.59,0.0
423,120,26.44,0.16
424,117,26.24,0.35
425,116,28.46,0.53
426,115,22.95,0.13
427,115,22.84,0.27
428,115,20.62,0.94
429,115,20.57,0.43
430,115,22.64,0.67
431,115,19.26,0.76
432,114,22.57,0.61
433,114,19.01,0.0
434,114,20.24,0.69
435,114,18.69,0.16
436,114,17.01,0.29
437,113,15.32,0.84
438,113,12.51,0.34
439,113,13.91,0.28
440,113,14.67,0.27
441,110,15.18,0.18
442,110,14.37,0.14
443,110,17.1,0.24
444,109,16.43,0.18
445,108,15.66,0.19
446,108,18.5,0.26
447,107,18.85,0.51
448,106,13.8,0.64
449,106,17.83,0.1
450,104,18.36,0.16
451,103,16.85,0.78
452,103,15.06,0.3
453,103,11.17,0.2
454,102,13.6,0.09
455,102,17.04,0.0
456,102,17.18,1.13
457,102,17.15,0.93
458,102,12.04,1.38
459,101,12.99,0.21
460,101,14.19,0.12
461,99,15.74,0.44
462,98,16.51,0.19
463,98,17.44,0.0
464,98,18.96,0.18
465,98,15.56,0.23
466,98,16.87,0.2
467,98,18.0,0.29
468,97,16.04,0.63
469,96,19.91,0.27
470,96,18.21,0.08
471,94,21.14,0.45
472,94,22.72,0.38
473,91,18.52,0.25
474,90,15.64,0.0
475,89,15.98,0.87
476,89,15.68,0.19
477,88,18.35,0.64
478,88,17.78,0.16
479,85,15.37,0.64
480,85,23.06,0.0
481,85,18.49,0.24
482,85,16.72,0.15
483,85,14.27,0.29
484,85,17.63,0.12
485,84,19.04,0.12
486,83,20.91,0.08
487,83,14.74,0.2
488,83,17.5,0.39
489,82,20.77,0.05
490,82,21.2,0.0
491,82,15.49,0.0
492,82,17.3,1.61
493,82,20.31,0.0
494,82,17.4,0.0
495,82,25.36,0.43
496,82,15.5,1.06
497,82,16.4,0.54
498,82,19.98,0.0
499,81,18.68,0.0
500,81,15.07,0.17
501,80,19.91,0.14
502,79,18.95,0.49
503,79,16.63,0.0
504,79,16.37,0.47
505,79,17.49,1.2
506,79,22.58,0.42
507,78,23.24,0.0
508,78,19.06,0.03
509,78,20.24,0.36
510,78,27.31,0.24
511,77,19.59,0.16
512,77,25.5,0.21
513,76,16.6,0.43
514,76,15.67,0.08
515,76,22.99,0.08
516,76,18.59,0.55
517,75,23.4,0.28
518,75,22.33,0.09
519,75,21.62,0.79
520,73,23.49,0.36
521,73,23.26,0.26
522,73,21.14,0.0
523,73,17.74,0.15
524,73,15.82,0.0
525,72,25.03,0.99
526,71,25.16,0.08
527,71,24.3,0.65
528,71,23.09,0.0
529,71,21.74,0.13
530,71,18.8,0.24
531,71,24.52,0.32
532,71,23.27,0.07
533,71,20.17,0.28
534,71,18.02,0.04
535,71,21.7,0.15
536,71,22.34,0.0
537,71,17.69,0.32
538,71,19.97,0.17
539,70,33.25,0.63
540,70,32.45,0.0
541,70,20.12,0.41
542,69,17.71,1.42
543,69,26.09,0.0
544,68,24.68,0.0
545,68,19.31,0.5
546,68,27.75,0.37
547,67,23.84,0.0
548,66,26.14,0.45
549,66,21.9,0.0
550,66,19.34,0.18
551,66,19.63,0.41
552,65,21.56,0.0
553,64,20.05,0.2
554,64,24.37,0.11
555,64,15.62,0.06
556,64,17.66,0.0
557,64,17.35,0.34
558,64,18.06,0.92
559,64,19.26,0.19
560,64,16.3,0.14
561,63,24.76,0.22
562,63,31.89,0.24
563,62,16.3,0.0
564,62,27.86,0.48
565,62,29.62,0.08
566,62,17.91,0.06
567,61,31.32,0.34
568,61,20.91,0.0
569,60,17.91,0.02
570,60,19.35,1.62
571,60,15.89,0.1
572,60,15.02,0.47
573,59,21.58,0.47
574,58,18.2,0.05
575,58,25.98,1.41
576,58,19.46,0.21
577,57,21.61,0.0
578,57,17.91,0.0
579,57,21.32,0.0
580,56,31.83,0.0
581,56,50.87,0.98
582,56,53.78,0.0
583,56,19.96,0.91
584,56,20.79,0.09
585,56,22.67,0.0
586,55,21.97,0.27
587,55,23.65,0.0
588,55,18.13,0.78
589,55,20.79,0.0
590,54,25.86,0.28
591,53,16.15,0.53
592,53,31.98,0.26
593,53,40.82,0.11
594,53,24.6,1.3
595,53,14.43,0.0
596,53,19.5,0.28
597,53,16.53,0.0
598,53,22.77,0.0
599,53,22.51,0.64
600,53,18.76,0.89
601,53,38.34,0.74
602,53,15.97,0.51
603,53,19.66,0.0
604,53,15.89,0.0
605,53,17.5,0.28
606,53,15.18,0.06
607,53,15.49,0.0
608,53,16.69,0.96
609,53,17.56,1.51
610,53,22.02,0.0
611,53,14.25,0.26
612,52,18.47,0.0
613,52,19.83,0.0
614,52,20.7,0.58
615,52,21.42,0.04
616,52,19.8,1.56
617,52,17.6,0.0
618,52,19.55,0.0
619,52,17.15,0.15
620,52,19.67,0.31
621,52,13.89,0.29
622,52,16.67,0.15
623,52,16.89,0.19
624,52,18.58,0.13
625,50,16.77,0.26
626,50,12.75,0.0
627,49,15.67,0.43
628,49,15.08,0.0
629,49,15.31,0.1
630,49,16.26,0.0
631,49,14.57,0.14
632,49,19.99,0.0
633,49,12.11,0.04
634,49,16.95,0.0
635,49,19.66,0.0
636,49,18.53,0.0
637,49,17.56,0.0
638,49,32.59,0.0
639,48,30.16,0.02
640,48,37.14,0.23
641,48,36.58,0.0
642,48,24.21,0.69
643,48,13.78,0.27
644,48,19.85,1.02
645,48,19.44,0.0
646,47,20.24,0.21
647,47,17.87,0.3
648,47,24.51,0.3
649,47,16.89,0.04
650,47,20.39,0.04
651,47,14.22,0.15
652,47,19.81,0.0
653,47,21.54,0.21
654,47,15.47,0.0
655,47,15.68,0.13
656,47,20.57,0.0
657,47,24.73,0.11
658,47,26.08,0.47
659,47,24.61,0.02
660,47,15.86,0.0
661,46,18.54,0.02
662,46,22.12,0.37
663,44,23.15,0.0
664,44,25.82,0.14
665,44,17.01,0.3
666,44,20.01,0.0
667,44,23.4,0.0
668,44,25.34,0.57
669,44,21.59,0.84
670,44,16.93,0.0
671,44,22.17,0.55
672,44,22.63,0.0
673,42,23.08,0.64
674,42,19.87,0.0
675,42,23.24,0.0
676,42,31.15,0.29
677,42,21.08,0.17
678,42,21.11,0.0
679,42,23.13,0.24
680,42,25.03,0.0
681,42,26.01,0.5
682,42,31.35,0.12
683,42,44.27,1.19
684,42,14.54,0.0
685,42,20.02,0.0
686,42,19.97,0.0
687,42,19.87,0.07
688,42,37.28,0.48
689,42,17.06,0.31
690,42,19.73,0.02
691,41,16.04,0.0
692,41,17.59,0.0
693,41,20.86,0.0
694,41,17.83,1.39
695,41,28.13,0.24
696,41,23.33,0.0
697,40,24.48,0.2
698,40,20.04,0.12
699,40,56.6,0.22
700,40,18.51,0.0
701,40,23.16,0.48
702,40,17.03,0.0
703,39,24.8,0.0
704,39,20.43,0.0
705,38,24.18,0.0
706,37,18.92,0.05
707,36,20.2,0.31
708,36,19.26,0.14
709,36,13.57,0.06
710,36,13.89,0.0
711,34,17.15,0.0
712,34,20.38,0.0
713,34,15.28,0.41
714,34,28.08,0.26
715,33,17.94,0.0
716,33,16.71,0.0
717,33,24.97,0.12
718,33,24.16,0.0
719,33,14.53,0.42
720,33,22.51,0.0
721,32,18.09,1.06
722,32,20.32,0.0
723,32,20.87,0.22
724,32,16.82,0.09
725,32,27.67,0.0
726,32,32.08,0.0
727,32,27.59,0.0
728,32,21.69,0.78
729,32,20.36,0.0
730,32,20.06,0.09
731,32,18.15,0.47
732,32,23.94,0.22
733,32,19.42,0.0
734,32,19.84,0.62
735,32,29.23,0.0
736,32,31.61,0.0
737,32,40.11,0.0
738,32,23.13,0.19
739,32,36.41,0.0
740,32,23.55,0.06
741,32,23.88,0.0
742,31,25.62,0.19
743,31,23.64,0.0
744,31,26.37,0.0
745,31,23.25,0.06
746,31,43.75,1.42
747,31,65.17,0.19
748,31,26.89,0.03
749,31,15.86,0.0
750,31,19.22,0.0
751,31,13.44,0.0
752,31,22.28,0.0
753,31,27.33,3.45
754,30,29.81,0.3
755,30,21.85,0.0
756,30,27.67,0.0
757,29,21.12,0.0
758,29,26.44,0.0
759,29,28.02,0.0
760,29,28.14,1.0
761,29,33.65,0.0
762,29,26.71,0.69
763,29,22.47,0.0
764,29,24.02,0.0
765,29,30.8,0.1
766,29,21.97,0.48
767,29,54.29,0.0
768,29,48.25,0.17
769,29,39.72,0.0
770,29,33.86,0.24
771,29,28.64,0.0
772,29,30.36,0.0
773,29,16.38,0.1
774,29,29.72,0.34
775,29,21.23,0.21
776,29,25.19,0.0
777,29,25.1,0.1
778,29,25.46,0.07
779,29,35.39,0.0
780,29,36.71,0.55
781,29,53.57,1.62
782,29,52.04,0.59
783,29,19.05,0.0
784,29,43.6,0.0
785,29,97.36,0.07
786,29,38.76,0.24
787,29,28.63,0.0
788,29,54.98,0.24
789,29,49.04,0.14
790,29,39.34,0.0
791,29,51.03,0.0
792,29,26.68,0.0
793,29,36.94,0.0
794,29,38.18,0.17
795,29,39.59,0.24
796,29,33.49,0.97
797,29,23.46,0.0
798,29,50.54,0.17
799,29,26.05,0.38
800,28,29.81,0.64
801,28,24.66,0.0
802,28,23.5,0.0
803,28,10.86,0.0
804,28,17.59,0.0
805,28,15.02,0.0
806,28,10.14,0.5
807,28,15.58,0.21
808,28,9.67,0.11
809,28,16.11,0.0
810,28,12.92,0.0
811,28,14.59,0.0
812,28,12.64,0.0
813,28,21.21,0.0
814,28,19.7,0.0
815,28,16.65,1.14
816,28,26.5,0.11
817,28,16.28,0.46
818,28,21.11,0.11
819,28,25.77,0.11
820,28,41.76,0.0
821,28,21.98,0.07
822,28,35.27,0.0
823,28,35.69,0.0
824,28,17.12,0.64
825,28,18.31,1.07
826,28,17.26,0.0
827,28,18.54,0.36
828,28,22.66,0.0
829,28,20.19,0.0
830,28,34.25,0.11
831,28,18.24,0.0
832,28,20.42,0.11
833,28,22.97,0.0
834,28,22.66,0.0
835,28,24.64,0.0
836,28,21.17,0.0
837,28,24.64,0.07
838,28,17.45,0.0
839,28,27.22,0.0
840,28,17.19,0.54
841,28,17.17,0.43
842,28,20.49,0.0
843,28,22.27,0.0
844,28,21.88,0.0
845,28,18.49,0.0
846,28,27.98,0.46
847,28,23.57,1.11
848,28,13.14,0.5
849,28,12.1,0.0
850,28,14.47,0.0
851,28,16.22,0.0
852,27,18.53,0.0
853,27,21.23,0.0
854,27,15.9,0.59
855,27,15.21,0.0
856,27,16.57,0.78
857,27,12.97,0.0
858,27,7.19,0.22
859,27,15.09,0.0
860,27,14.79,0.0
861,27,12.89,0.07
862,27,15.05,0.0
863,27,13.91,0.41
864,27,21.69,0.0
865,27,18.05,0.52
866,27,17.32,0.0
867,27,41.04,0.0
868,27,17.53,0.15
869,27,17.85,0.0
870,27,20.25,0.0
871,27,11.97,0.22
872,27,18.86,0.0
873,27,20.46,0.0
874,27,15.44,0.26
875,27,20.61,0.0
876,27,10.62,0.0
877,27,7.78,0.26
878,27,15.52,2.52
879,27,22.02,0.0
880,27,20.02,0.3
881,27,21.89,0.0
882,27,15.94,0.0
883,27,17.13,0.0
884,27,8.6,0.07
885,27,8.23,0.0
886,27,13.52,0.67
887,27,15.8,0.11
888,27,16.26,0.0
889,27,14.73,0.0
890,27,9.05,0.0
891,27,11.09,0.44
892,27,12.83,0.0
893,27,10.9,0.0
894,27,12.78,0.0
895,27,14.1,0.11
896,27,10.94,0.04
897,27,20.1,0.52
898,27,18.53,0.0
899,26,11.18,0.04
900,25,10.32,0.0
901,25,26.98,0.0
902,25,10.11,0.0
903,25,11.8,0.0
904,25,18.07,0.04
905,25,16.37,2.8
906,25,14.18,0.0
907,25,14.47,0.0
908,25,18.17,0.24
909,25,22.94,1.0
910,25,31.0,0.0
911,25,16.15,0.0
912,25,12.06,0.04
913,25,12.4,0.0
914,25,12.44,0.0
915,25,15.18,0.08
916,25,17.66,0.28
917,25,18.68,0.0
918,25,12.38,0.12
919,25,9.88,0.0
920,25,14.69,0.52
921,25,18.07,0.0
922,25,20.95,0.0
923,25,11.47,0.0
924,25,9.22,0.04
925,25,10.4,0.0
926,25,7.62,0.28
927,25,8.2,0.0
928,25,11.19,0.0
929,25,9.13,0.92
930,25,15.12,0.0
931,25,19.97,0.88
932,25,18.48,0.0
933,25,12.01,0.0
934,25,11.87,0.0
935,25,24.08,0.28
936,25,19.55,0.0
937,25,31.12,0.0
938,24,23.78,0.0
939,24,26.64,0.0
940,24,34.84,0.42
941,24,22.63,0.0
942,24,23.03,0.21
943,24,25.15,0.0
944,24,34.54,0.25
945,24,20.56,0.21
946,24,19.02,0.17
947,24,31.02,0.0
948,24,23.29,0.0
949,24,19.02,0.5
950,24,15.96,0.0
951,24,14.26,0.0
952,24,17.69,0.25
953,24,14.44,0.0
954,24,20.78,0.0
955,24,19.25,0.0
956,24,25.7,0.0
957,24,21.57,0.0
958,24,15.19,0.0
959,24,19.62,0.0
960,24,20.46,0.0
961,24,23.16,0.25
962,24,28.65,1.25
963,24,20.47,0.08
964,23,13.66,0.0
965,23,13.42,0.0
966,23,15.01,0.0
967,23,13.04,0.17
968,23,17.12,0.0
969,23,14.45,0.26
970,23,19.78,0.0
971,22,17.24,0.0
972,22,16.68,0.0
973,21,17.24,1.19
974,21,19.34,0.0
975,21,15.02,0.0
976,21,22.32,0.0
977,21,20.45,0.0
978,21,27.32,0.05
979,21,24.49,0.48
980,21,16.53,0.0
981,21,16.16,0.0
982,20,15.56,0.0
983,20,19.44,0.0
984,20,18.06,0.3
985,20,15.92,0.25
986,20,11.84,0.0
987,20,14.08,0.0
988,20,17.16,0.0
989,20,17.79,0.95
990,20,13.95,0.0
991,20,17.04,0.0
992,20,11.26,2.05
993,20,16.36,0.0
994,20,18.97,0.6
995,20,12.81,0.4
996,20,15.88,0.35
997,20,15.82,0.0
998,20,15.99,0.05
999,20,17.08,0.0
1000,20,22.06,0.15
1001,20,14.39,0.0
1002,20,13.75,0.0
1003,20,15.74,0.0
1004,20,17.65,0.0
1005,20,29.92,0.0
1006,20,16.67,0.0
1007,20,15.88,2.15
1008,20,18.15,0.0
1009,20,10.96,0.0
1010,20,16.51,0.0
1011,20,12.18,0.0
1012,20,16.28,0.0
1013,20,22.31,0.0
1014,20,19.98,0.0
1015,20,21.75,0.0
1016,20,16.43,0.0
1017,20,12.65,0.0
1018,20,26.22,0.1
1019,20,22.53,0.0
1020,20,13.71,0.0
1021,20,14.57,0.0
1022,20,14.51,0.0
1023,20,19.34,0.0
1024,20,20.51,0.0
1025,19,15.91,0.0
1026,19,15.53,0.0
1027,19,13.69,0.05
1028,19,15.55,0.0
1029,19,28.31,0.16
1030,19,11.02,0.0
1031,19,19.51,0.0
1032,19,29.04,0.0
1033,19,18.19,0.0
1034,19,24.81,0.0
1035,19,23.71,0.0
1036,19,10.48,0.0
1037,19,14.08,0.0
1038,19,13.69,1.16
1039,19,31.93,0.95
1040,19,12.94,0.42
1041,19,8.4,0.0
1042,19,7.99,0.26
1043,19,13.19,0.0
1044,19,19.26,0.26
1045,19,12.1,0.0
1046,19,8.48,0.0
1047,19,14.74,1.16
1048,19,25.16,1.05
1049,19,28.42,0.0
1050,19,38.97,0.0
1051,19,20.05,0.0
1052,19,19.03,0.0
1053,19,11.23,0.37
1054,19,16.17,1.11
1055,19,18.67,0.74
1056,19,32.95,0.0
1057,19,27.83,0.0
1058,19,18.09,0.0
1059,19,30.1,0.0
1060,19,15.45,0.0
1061,19,15.49,0.0
1062,19,28.2,0.0
1063,19,14.04,0.0
1064,19,16.53,0.26
1065,19,21.54,1.42
1066,19,28.2,0.26
1067,19,33.36,4.16
1068,19,31.53,0.0
1069,19,28.88,0.0
1070,19,34.74,0.37
1071,19,32.15,0.0
1072,19,23.82,0.0
1073,19,45.57,0.0
1074,19,14.55,0.0
1075,19,23.54,0.0
1076,19,31.32,0.21
1077,19,33.38,0.0
1078,19,36.2,0.0
1079,19,37.63,0.0
1080,19,22.41,0.0
1081,19,16.51,0.11
1082,19,29.31,0.0
1083,19,30.63,0.0
1084,19,48.61,0.58
1085,19,28.48,0.0
1086,19,25.45,0.11
1087,19,33.74,0.21
1088,19,15.21,1.05
1089,19,56.74,0.0
1090,19,25.72,0.53
1091,18,30.62,0.28
1092,18,26.18,0.0
1093,18,19.74,0.0
1094,18,13.58,0.0
1095,18,16.84,0.0
1096,18,34.1,1.0
1097,18,14.64,0.22
1098,18,12.86,0.06
1099,18,21.25,0.0
1100,18,18.59,0.0
1101,18,17.22,0.0
1102,18,38.08,0.0
1103,18,17.77,0.44
1104,18,22.26,0.22
1105,18,22.09,0.0
1106,18,18.06,0.83
1107,17,22.12,0.0
1108,17,35.86,0.0
1109,17,19.05,0.06
1110,17,13.79,0.0
1111,17,11.82,0.0
1112,17,18.29,0.0
1113,17,18.09,1.35
1114,17,26.81,0.0
1115,17,21.06,0.0
1116,17,15.96,0.0
1117,17,26.48,0.0
1118,17,23.21,0.0
1119,17,60.68,0.0
1120,16,20.85,0.0
1121,16,43.4,0.0
1122,16,39.5,0.25
1123,16,33.76,0.0
1124,16,41.71,0.0
1125,16,71.27,0.0
1126,16,12.28,0.0
1127,16,31.91,0.44
1128,16,22.08,0.0
1129,16,13.55,0.0
1130,16,25.33,0.0
1131,16,10.33,0.0
1132,16,11.59,0.0
1133,16,22.08,0.31
1134,16,16.71,0.0
1135,16,14.86,0.0
1136,16,13.18,0.0
1137,16,13.14,0.94
1138,15,17.73,0.0
1139,15,18.95,0.47
1140,15,20.3,0.0
