CustomerID,order_count,total_spend,avg_order_value,first_purchase,last_purchase,customer_lifespan,purchase_frequency
12371,63,1887.96,29.97,2011-10-11 10:43:00,2011-10-26 10:16:00,14,135.0
12372,52,1298.04,24.96,2011-02-16 12:46:00,2011-09-29 12:12:00,224,6.96
12373,14,364.6,26.04,2011-02-01 13:10:00,2011-02-01 13:10:00,1,420.0
12374,33,742.93,22.51,2011-11-14 15:37:00,2011-11-14 15:37:00,1,990.0
12375,17,457.5,26.91,2011-09-02 14:23:00,2011-11-29 10:36:00,87,5.86
12377,77,1628.12,21.14,2010-12-20 09:37:00,2011-01-28 15:45:00,39,59.23
12378,219,4008.62,18.3,2011-08-02 10:34:00,2011-08-02 10:34:00,1,6570.0
12379,40,852.24,21.31,2011-06-22 16:32:00,2011-09-19 10:09:00,88,13.64
12380,104,2724.81,26.2,2011-06-07 09:49:00,2011-11-18 11:27:00,164,19.02
12381,87,1845.31,21.21,2011-08-12 09:57:00,2011-12-05 12:44:00,115,22.7
12383,99,1850.56,18.69,2010-12-22 14:28:00,2011-06-08 08:02:00,167,17.78
12384,27,585.27,21.68,2011-08-10 11:23:00,2011-11-11 08:39:00,92,8.8
12386,10,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,29,10.34
12388,100,2780.66,27.81,2011-01-17 11:12:00,2011-11-24 12:30:00,311,9.65
12390,32,549.84,17.18,2011-09-21 09:33:00,2011-09-21 09:33:00,1,960.0
12391,100,460.89,4.61,2011-11-18 12:07:00,2011-11-18 12:07:00,1,3000.0
12393,64,1582.6,24.73,2011-01-11 09:47:00,2011-09-28 15:41:00,260,7.38
12394,27,1272.48,47.13,2011-05-06 14:01:00,2011-10-07 08:08:00,153,5.29
12395,156,3018.63,19.35,2010-12-03 16:35:00,2011-11-20 15:21:00,351,13.33
12397,126,2409.9,19.13,2011-07-27 14:21:00,2011-11-04 09:52:00,99,38.18
12398,85,1635.66,19.24,2011-10-25 10:27:00,2011-10-25 10:27:00,1,2550.0
12399,59,1108.65,18.79,2011-03-23 09:42:00,2011-08-12 13:15:00,142,12.46
12401,5,84.3,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,1,150.0
12402,11,225.6,20.51,2011-01-20 13:49:00,2011-01-20 13:49:00,1,330.0
12403,5,427.7,85.54,2011-10-21 10:51:00,2011-10-21 10:51:00,1,150.0
12405,54,1710.39,31.67,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1620.0
12406,105,3415.3,32.53,2011-06-09 10:23:00,2011-11-17 19:22:00,161,19.57
12407,77,1708.12,22.18,2011-03-20 13:21:00,2011-10-21 10:11:00,214,10.79
12408,105,2888.55,27.51,2011-03-24 14:46:00,2011-11-07 12:27:00,227,13.88
12409,109,11072.67,101.58,2011-06-10 12:19:00,2011-09-22 10:38:00,103,31.75
12410,26,693.33,26.67,2011-02-04 10:38:00,2011-02-04 10:39:00,1,780.0
12412,61,1226.88,20.11,2011-06-23 13:51:00,2011-09-26 10:16:00,94,19.47
12413,38,758.1,19.95,2011-01-06 16:12:00,2011-10-04 09:00:00,270,4.22
12414,18,562.41,31.25,2011-02-02 14:51:00,2011-05-06 14:51:00,93,5.81
12415,714,124914.53,174.95,2011-01-06 11:12:00,2011-11-15 14:22:00,313,68.43
12417,192,3649.1,19.01,2010-12-17 11:51:00,2011-12-06 14:52:00,354,16.27
12418,34,668.58,19.66,2011-08-19 11:08:00,2011-08-19 11:08:00,1,1020.0
12420,29,600.39,20.7,2011-10-07 08:55:00,2011-10-07 08:55:00,1,870.0
12421,45,807.04,17.93,2011-01-24 15:09:00,2011-11-24 09:07:00,303,4.46
12422,39,803.56,20.6,2011-01-19 09:13:00,2011-09-05 09:48:00,229,5.11
12423,125,1859.31,14.87,2010-12-21 10:54:00,2011-12-09 10:10:00,352,10.65
12424,30,1760.96,58.7,2011-06-30 12:06:00,2011-06-30 12:06:00,1,900.0
12425,36,777.2,21.59,2011-09-22 17:31:00,2011-09-22 17:31:00,1,1080.0
12426,30,582.73,19.42,2011-05-29 12:26:00,2011-05-29 12:26:00,1,900.0
12427,31,825.8,26.64,2010-12-03 10:44:00,2011-11-18 08:56:00,349,2.66
12428,294,7956.46,27.06,2011-03-01 09:33:00,2011-11-14 08:22:00,257,34.32
12429,97,3750.4,38.66,2010-12-09 12:05:00,2011-11-30 17:22:00,356,8.17
12430,11,256.4,23.31,2011-10-27 15:09:00,2011-10-27 15:09:00,1,330.0
12431,235,6487.45,27.61,2010-12-01 10:03:00,2011-11-04 11:55:00,338,20.86
12432,108,5059.32,46.85,2011-06-20 13:27:00,2011-10-28 11:43:00,129,25.12
12433,420,13375.87,31.85,2010-12-01 13:24:00,2011-12-09 10:02:00,372,33.87
12434,50,806.14,16.12,2011-03-24 13:05:00,2011-09-16 12:38:00,175,8.57
12435,36,7829.89,217.5,2011-03-17 07:40:00,2011-09-21 09:06:00,188,5.74
12436,16,509.01,31.81,2011-09-01 12:09:00,2011-09-01 12:09:00,1,480.0
12437,199,4951.41,24.88,2011-01-12 14:13:00,2011-12-08 11:35:00,329,18.15
12438,98,2906.85,29.66,2011-07-22 13:29:00,2011-11-25 13:28:00,125,23.52
12441,11,173.55,15.78,2010-12-08 10:45:00,2010-12-08 10:45:00,1,330.0
12442,12,172.06,14.34,2011-12-06 14:22:00,2011-12-06 14:22:00,1,360.0
12444,176,5005.46,28.44,2011-06-21 14:00:00,2011-11-18 13:23:00,149,35.44
12445,4,133.4,33.35,2011-11-17 18:43:00,2011-11-17 18:43:00,1,120.0
12446,57,1002.31,17.58,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1710.0
12447,26,476.49,18.33,2011-04-10 13:25:00,2011-04-10 13:25:00,1,780.0
12448,22,449.45,20.43,2011-10-26 13:46:00,2011-10-26 13:46:00,1,660.0
12449,191,4067.29,21.29,2011-06-05 15:37:00,2011-11-17 13:46:00,164,34.94
12450,8,197.88,24.74,2011-06-19 14:36:00,2011-07-06 14:41:00,17,14.12
12451,354,9035.52,25.52,2011-01-19 09:05:00,2011-11-29 08:40:00,313,33.93
12452,22,430.57,19.57,2011-11-23 08:05:00,2011-11-23 10:28:00,1,660.0
12453,43,707.09,16.44,2011-07-28 14:08:00,2011-07-28 14:08:00,1,1290.0
12454,15,3528.34,235.22,2011-10-14 17:13:00,2011-10-14 17:13:00,1,450.0
12455,90,2466.86,27.41,2011-02-16 09:56:00,2011-09-27 15:31:00,223,12.11
12456,125,3181.04,25.45,2011-03-30 09:12:00,2011-10-26 14:41:00,210,17.86
12457,62,2363.23,38.12,2011-04-14 18:57:00,2011-10-04 13:13:00,172,10.81
12458,38,947.4,24.93,2011-02-28 10:55:00,2011-09-29 15:25:00,213,5.35
12461,35,826.88,23.63,2011-07-08 10:23:00,2011-09-06 16:57:00,60,17.5
12462,62,1189.59,19.19,2011-02-09 14:44:00,2011-11-21 09:11:00,284,6.55
12463,83,1344.78,16.2,2011-04-12 12:47:00,2011-10-17 13:44:00,188,13.24
12464,29,1212.05,41.79,2011-02-03 13:30:00,2011-11-29 13:33:00,299,2.91
12465,47,742.19,15.79,2011-06-23 13:37:00,2011-11-22 16:34:00,152,9.28
12468,38,729.54,19.2,2011-01-27 13:29:00,2011-06-05 11:36:00,128,8.91
12471,460,19824.05,43.1,2010-12-10 09:35:00,2011-12-07 15:43:00,362,38.12
12472,339,6572.11,19.39,2010-12-05 14:19:00,2011-11-07 14:01:00,336,30.27
12473,168,3938.55,23.44,2011-06-01 10:15:00,2011-11-10 13:46:00,162,31.11
12474,424,7375.79,17.4,2011-01-14 10:06:00,2011-11-22 14:39:00,312,40.77
12475,36,723.38,20.09,2011-10-17 10:10:00,2011-10-17 10:10:00,1,1080.0
12476,233,6816.42,29.26,2010-12-13 14:39:00,2011-11-24 12:40:00,345,20.26
12477,300,13219.74,44.07,2011-02-11 12:45:00,2011-11-17 09:51:00,278,32.37
12478,36,680.99,18.92,2011-12-06 09:56:00,2011-12-06 09:56:00,1,1080.0
12479,31,527.2,17.01,2011-11-28 13:26:00,2011-11-28 13:26:00,1,930.0
12480,154,3281.63,21.31,2011-01-07 15:27:00,2011-11-11 14:52:00,307,15.05
12481,217,5596.32,25.79,2010-12-09 10:13:00,2011-11-17 08:29:00,342,19.04
12483,75,2484.98,33.13,2011-01-04 14:20:00,2011-11-22 17:02:00,322,6.99
12484,346,4541.72,13.13,2011-01-07 14:04:00,2011-11-07 11:37:00,303,34.26
12488,55,1298.66,23.61,2011-09-25 10:34:00,2011-11-30 08:50:00,65,25.38
12489,15,334.93,22.33,2011-01-07 13:13:00,2011-01-07 13:13:00,1,450.0
12490,245,5417.93,22.11,2011-01-14 09:13:00,2011-12-04 16:07:00,324,22.69
12491,26,460.4,17.71,2011-11-01 12:18:00,2011-11-01 12:18:00,1,780.0
12492,20,263.21,13.16,2011-08-26 14:51:00,2011-10-07 15:15:00,42,14.29
12493,22,433.74,19.72,2011-05-26 14:53:00,2011-06-27 10:17:00,31,21.29
12494,77,1246.1,16.18,2010-12-09 11:31:00,2011-11-24 09:34:00,349,6.62
12497,14,1043.1,74.51,2011-09-19 12:29:00,2011-09-19 12:29:00,1,420.0
12498,23,403.7,17.55,2011-10-13 09:30:00,2011-11-18 12:53:00,36,19.17
12500,61,4257.82,69.8,2011-01-10 09:48:00,2011-11-16 16:20:00,310,5.9
12501,149,2169.39,14.56,2011-01-07 12:28:00,2011-01-07 12:28:00,1,4470.0
12502,147,3723.87,25.33,2011-02-03 10:41:00,2011-09-05 11:52:00,214,20.61
12504,9,482.05,53.56,2011-11-09 14:56:00,2011-11-21 16:02:00,12,22.5
12506,23,73.5,3.2,2011-04-21 08:54:00,2011-04-21 08:54:00,1,690.0
12507,21,1304.81,62.13,2011-02-14 09:24:00,2011-07-28 17:09:00,164,3.84
12508,69,398.27,5.77,2011-11-10 16:27:00,2011-11-13 15:37:00,2,1035.0
12509,7,176.5,25.21,2011-02-28 14:45:00,2011-02-28 14:45:00,1,210.0
12510,33,982.57,29.77,2011-01-18 14:04:00,2011-07-20 10:15:00,182,5.44
12512,34,138.03,4.06,2011-10-04 14:53:00,2011-10-04 14:55:00,1,1020.0
12513,35,612.29,17.49,2011-08-19 10:51:00,2011-08-19 10:51:00,1,1050.0
12514,51,1017.68,19.95,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1530.0
12515,16,383.7,23.98,2010-12-21 15:43:00,2010-12-21 15:43:00,1,480.0
12516,26,1312.06,50.46,2011-06-12 11:37:00,2011-09-23 09:13:00,102,7.65
12517,284,2502.84,8.81,2011-06-02 15:13:00,2011-11-11 14:04:00,161,52.92
12518,124,2056.89,16.59,2011-08-21 13:18:00,2011-12-09 10:13:00,109,34.13
12519,18,340.84,18.94,2011-10-07 09:26:00,2011-10-07 09:26:00,1,540.0
12520,152,2634.26,17.33,2011-03-11 11:35:00,2011-09-21 15:23:00,194,23.51
12521,38,599.68,15.78,2011-07-20 10:51:00,2011-07-20 10:51:00,1,1140.0
12522,12,192.72,16.06,2011-10-19 14:41:00,2011-10-31 15:30:00,12,30.0
12523,106,1789.77,16.88,2011-01-12 09:43:00,2011-11-20 12:55:00,312,10.19
12524,144,4485.72,31.15,2011-01-10 10:35:00,2011-11-30 15:31:00,324,13.33
12526,71,1316.66,18.54,2011-09-06 14:19:00,2011-12-09 12:09:00,93,22.9
12527,18,348.71,19.37,2011-01-18 12:05:00,2011-09-19 11:55:00,243,2.22
12528,92,1933.48,21.02,2011-01-31 09:05:00,2011-11-30 14:40:00,303,9.11
12530,66,1662.28,25.19,2011-01-07 10:04:00,2011-10-11 12:34:00,277,7.15
12531,17,125.22,7.37,2011-11-25 11:12:00,2011-11-25 11:12:00,1,510.0
12532,16,349.83,21.86,2011-11-09 13:47:00,2011-11-09 13:47:00,1,480.0
12534,63,1089.18,17.29,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1890.0
12535,34,716.35,21.07,2011-06-06 12:47:00,2011-09-09 08:48:00,94,10.85
12536,261,12601.83,48.28,2011-10-11 14:52:00,2011-10-27 14:20:00,15,522.0
12538,21,363.95,17.33,2011-11-10 17:16:00,2011-11-10 17:16:00,1,630.0
12539,273,5568.35,20.4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,26.33
12540,478,13400.24,28.03,2010-12-13 09:39:00,2011-11-20 11:31:00,342,41.93
12541,52,981.18,18.87,2011-03-04 09:32:00,2011-11-10 10:40:00,251,6.22
12544,19,372.7,19.62,2011-11-03 16:15:00,2011-11-03 16:15:00,1,570.0
12545,50,1000.39,20.01,2011-03-25 12:04:00,2011-09-25 13:39:00,184,8.15
12546,69,1161.5,16.83,2011-09-23 09:44:00,2011-10-24 12:09:00,31,66.77
12547,8,207.8,25.98,2011-03-04 12:46:00,2011-05-26 12:38:00,82,2.93
12548,5,95.2,19.04,2011-06-26 15:35:00,2011-06-26 15:35:00,1,150.0
12550,57,964.83,16.93,2011-09-21 14:35:00,2011-09-21 14:35:00,1,1710.0
12551,10,168.0,16.8,2010-12-17 11:23:00,2010-12-17 11:23:00,1,300.0
12552,20,437.82,21.89,2011-10-31 12:11:00,2011-11-01 10:02:00,1,600.0
12553,191,3692.28,19.33,2011-01-14 10:42:00,2011-12-01 16:38:00,321,17.85
12556,121,603.71,4.99,2011-07-11 13:35:00,2011-10-20 13:06:00,100,36.3
12557,33,11990.96,363.36,2010-12-03 12:20:00,2011-11-23 16:59:00,355,2.79
12558,11,269.96,24.54,2011-12-02 10:41:00,2011-12-02 10:41:00,1,330.0
12559,21,561.71,26.75,2011-01-24 10:12:00,2011-02-02 09:49:00,8,78.75
12560,105,2134.01,20.32,2011-07-19 15:55:00,2011-12-04 13:54:00,137,22.99
12561,16,238.85,14.93,2011-02-10 11:39:00,2011-02-10 11:39:00,1,480.0
12562,168,3781.74,22.51,2011-05-25 12:44:00,2011-12-01 17:20:00,190,26.53
12564,21,456.9,21.76,2011-03-23 14:55:00,2011-03-23 14:55:00,1,630.0
12565,9,145.92,16.21,2011-02-24 10:34:00,2011-02-24 10:34:00,1,270.0
12566,19,351.65,18.51,2011-09-14 14:30:00,2011-09-14 14:30:00,1,570.0
12567,446,9401.28,21.08,2010-12-05 11:57:00,2011-11-17 11:02:00,346,38.67
12569,188,4124.69,21.94,2011-04-01 13:47:00,2011-12-07 16:24:00,250,22.56
12571,34,519.61,15.28,2011-08-10 12:35:00,2011-10-31 10:19:00,81,12.59
12572,60,1020.42,17.01,2011-10-19 08:20:00,2011-12-01 09:20:00,43,41.86
12573,28,160.54,5.73,2011-04-26 15:52:00,2011-04-26 15:52:00,1,840.0
12574,11,218.45,19.86,2011-01-28 09:20:00,2011-01-28 09:20:00,1,330.0
12576,88,1315.83,14.95,2011-02-08 11:31:00,2011-11-04 10:11:00,268,9.85
12577,147,657.8,4.47,2010-12-15 16:21:00,2011-11-04 13:24:00,323,13.65
12578,114,2794.51,24.51,2011-01-13 15:34:00,2011-11-18 13:30:00,308,11.1
12579,29,440.42,15.19,2011-09-22 17:15:00,2011-09-22 17:15:00,1,870.0
12580,24,415.7,17.32,2011-04-07 10:24:00,2011-04-07 10:24:00,1,720.0
12581,15,197.71,13.18,2011-10-31 08:56:00,2011-10-31 08:56:00,1,450.0
12582,22,511.36,23.24,2011-02-24 11:42:00,2011-04-15 08:45:00,49,13.47
12583,247,7281.38,29.48,2010-12-01 08:45:00,2011-12-07 08:07:00,370,20.03
12584,96,2338.15,24.36,2011-03-04 15:15:00,2011-12-06 09:35:00,276,10.43
12585,87,2040.1,23.45,2010-12-23 12:58:00,2011-04-19 13:39:00,117,22.31
12586,11,196.94,17.9,2011-11-22 16:24:00,2011-11-22 16:24:00,1,330.0
12587,4,144.0,36.0,2011-12-02 12:47:00,2011-12-02 12:47:00,1,120.0
12588,10,214.9,21.49,2011-10-31 15:01:00,2011-10-31 15:01:00,1,300.0
12589,35,646.68,18.48,2011-07-18 12:05:00,2011-11-11 10:19:00,115,9.13
12590,68,9864.26,145.06,2011-05-12 14:46:00,2011-05-12 14:52:00,1,2040.0
12591,26,452.85,17.42,2011-01-26 14:35:00,2011-01-26 14:35:00,1,780.0
12592,18,437.6,24.31,2011-05-10 13:44:00,2011-09-08 15:04:00,121,4.46
12593,21,418.1,19.91,2011-05-05 09:29:00,2011-08-23 12:43:00,110,5.73
12594,118,3338.22,28.29,2011-01-21 09:52:00,2011-11-02 12:20:00,285,12.42
12596,27,618.27,22.9,2011-04-11 13:22:00,2011-10-19 13:02:00,190,4.26
12597,206,3811.22,18.5,2011-03-16 14:00:00,2011-11-20 13:33:00,248,24.92
12598,132,3023.08,22.9,2011-02-28 11:58:00,2011-11-30 12:18:00,275,14.4
12599,62,1032.58,16.65,2011-02-08 13:28:00,2011-11-10 13:34:00,275,6.76
12600,64,2599.04,40.61,2010-12-03 12:57:00,2011-11-11 10:29:00,342,5.61
12601,28,577.06,20.61,2011-01-11 10:38:00,2011-06-03 10:17:00,142,5.92
12602,12,153.12,12.76,2011-10-12 11:22:00,2011-10-12 11:22:00,1,360.0
12603,2,739.2,369.6,2011-11-18 10:42:00,2011-11-18 10:42:00,1,60.0
12604,16,254.18,15.89,2011-03-23 12:06:00,2011-09-21 14:08:00,182,2.64
12607,101,1579.51,15.64,2011-10-10 16:06:00,2011-10-10 16:06:00,1,3030.0
12609,60,1126.85,18.78,2011-01-25 15:13:00,2011-09-22 16:34:00,240,7.5
12610,106,2099.54,19.81,2011-08-05 13:52:00,2011-11-17 09:34:00,103,30.87
12611,65,1193.32,18.36,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1950.0
12612,19,704.04,37.05,2011-09-26 15:35:00,2011-09-26 15:35:00,1,570.0
12613,153,3344.38,21.86,2011-03-22 15:42:00,2011-10-13 14:59:00,204,22.5
12614,20,315.6,15.78,2011-03-07 10:22:00,2011-03-07 10:22:00,1,600.0
12615,105,2291.19,21.82,2011-06-24 13:35:00,2011-12-07 15:02:00,166,18.98
12616,32,713.3,22.29,2011-02-15 14:17:00,2011-09-05 15:17:00,202,4.75
12617,42,355.53,8.46,2011-11-10 14:39:00,2011-11-10 14:39:00,1,1260.0
12618,11,177.31,16.12,2011-11-18 11:10:00,2011-11-18 11:10:00,1,330.0
12619,90,3641.24,40.46,2011-03-31 13:10:00,2011-11-23 14:52:00,237,11.39
12620,92,1339.41,14.56,2011-05-19 12:10:00,2011-11-25 10:20:00,189,14.6
12621,467,13689.67,29.31,2010-12-09 10:16:00,2011-12-08 11:25:00,364,38.49
12622,11,180.1,16.37,2011-04-21 16:39:00,2011-04-21 16:39:00,1,330.0
12623,18,305.1,16.95,2011-03-08 13:50:00,2011-03-08 13:50:00,1,540.0
12624,38,641.13,16.87,2011-06-15 12:34:00,2011-08-25 15:04:00,71,16.06
12625,86,2683.82,31.21,2011-01-24 13:27:00,2011-05-12 09:54:00,107,24.11
12626,294,6620.48,22.52,2011-01-17 11:01:00,2011-11-16 16:06:00,303,29.11
12627,230,4478.53,19.47,2011-07-22 13:59:00,2011-11-29 12:07:00,129,53.49
12628,41,786.46,19.18,2011-10-06 09:28:00,2011-12-05 13:15:00,60,20.5
12630,64,1270.88,19.86,2011-10-27 10:41:00,2011-11-30 10:48:00,34,56.47
12631,31,640.5,20.66,2011-10-13 13:53:00,2011-10-13 13:53:00,1,930.0
12633,101,2163.98,21.43,2011-02-25 08:44:00,2011-10-12 11:40:00,229,13.23
12635,101,1689.18,16.72,2011-07-08 08:43:00,2011-09-11 11:04:00,65,46.62
12637,390,6021.9,15.44,2011-01-20 10:47:00,2011-10-03 13:46:00,256,45.7
12638,39,671.69,17.22,2011-11-06 13:11:00,2011-11-06 13:11:00,1,1170.0
12639,22,486.1,22.1,2011-04-15 12:48:00,2011-04-15 12:48:00,1,660.0
12640,53,1174.58,22.16,2011-09-19 12:01:00,2011-11-16 11:52:00,57,27.89
12641,10,185.9,18.59,2011-08-16 13:26:00,2011-08-16 13:26:00,1,300.0
12642,47,1013.26,21.56,2011-08-24 09:23:00,2011-11-14 15:03:00,82,17.2
12643,24,3344.64,139.36,2011-01-11 11:48:00,2011-08-03 12:56:00,204,3.53
12644,31,477.91,15.42,2011-08-02 10:33:00,2011-08-02 10:33:00,1,930.0
12645,73,1775.18,24.32,2011-01-27 13:08:00,2011-11-06 12:38:00,282,7.77
12646,45,1346.97,29.93,2011-10-21 12:52:00,2011-12-05 10:14:00,44,30.68
12647,121,3722.82,30.77,2010-12-05 14:02:00,2011-11-17 12:56:00,346,10.49
12648,21,318.05,15.15,2011-07-08 11:55:00,2011-07-08 11:55:00,1,630.0
12649,31,623.51,20.11,2011-05-11 14:37:00,2011-08-24 14:41:00,105,8.86
12650,20,314.44,15.72,2011-12-06 16:34:00,2011-12-06 16:34:00,1,600.0
12651,9,114.0,12.67,2011-01-09 12:46:00,2011-01-09 12:46:00,1,270.0
12652,48,919.98,19.17,2011-01-12 15:00:00,2011-01-12 15:00:00,1,1440.0
12653,43,2209.85,51.39,2011-02-16 10:53:00,2011-07-14 10:41:00,147,8.78
12654,38,601.98,15.84,2011-02-17 13:16:00,2011-11-29 10:10:00,284,4.01
12656,126,4051.17,32.15,2011-04-20 09:20:00,2011-11-22 13:42:00,216,17.5
12657,47,1643.18,34.96,2011-09-22 11:40:00,2011-11-28 15:47:00,67,21.04
12658,36,686.05,19.06,2011-11-21 10:22:00,2011-11-21 10:22:00,1,1080.0
12659,5,91.68,18.34,2011-11-10 11:53:00,2011-11-10 11:53:00,1,150.0
12660,13,245.1,18.85,2011-11-28 13:26:00,2011-11-28 13:26:00,1,390.0
12662,230,3849.78,16.74,2010-12-01 13:04:00,2011-12-09 11:59:00,372,18.55
12664,37,4881.88,131.94,2011-01-21 11:42:00,2011-12-01 17:07:00,314,3.54
12665,3,63.0,21.0,2011-01-19 08:34:00,2011-01-19 08:34:00,1,90.0
12667,33,620.13,18.79,2011-10-12 17:00:00,2011-10-12 17:00:00,1,990.0
12668,161,3807.15,23.65,2010-12-19 12:46:00,2011-11-28 10:56:00,343,14.08
12669,101,2744.03,27.17,2011-03-28 10:15:00,2011-07-12 09:54:00,105,28.86
12670,92,2996.05,32.57,2011-04-21 10:16:00,2011-11-29 15:23:00,222,12.43
12672,10,225.9,22.59,2011-01-14 09:20:00,2011-01-14 09:20:00,1,300.0
12673,42,610.52,14.54,2011-01-17 11:46:00,2011-12-04 13:55:00,321,3.93
12674,83,1970.6,23.74,2011-05-16 09:10:00,2011-11-01 12:12:00,169,14.73
12676,45,1331.39,29.59,2011-02-01 15:41:00,2011-11-15 12:25:00,286,4.72
12678,165,17628.46,106.84,2010-12-21 11:00:00,2011-10-28 13:04:00,311,15.92
12679,48,1113.02,23.19,2011-03-01 12:26:00,2011-10-12 12:30:00,225,6.4
12680,52,862.81,16.59,2011-08-18 15:44:00,2011-12-09 12:50:00,112,13.93
12681,638,13787.54,21.61,2010-12-07 10:08:00,2011-11-25 11:33:00,353,54.22
12682,525,12288.22,23.41,2010-12-03 13:59:00,2011-12-06 10:00:00,367,42.92
12683,344,8476.57,24.64,2010-12-09 10:37:00,2011-12-05 16:31:00,361,28.59
12684,105,2283.63,21.75,2011-05-10 12:55:00,2011-12-02 09:53:00,205,15.37
12685,157,2863.08,18.24,2011-09-07 10:28:00,2011-11-11 13:46:00,65,72.46
12686,7,89.14,12.73,2010-12-03 09:51:00,2010-12-03 09:51:00,1,210.0
12688,171,4873.81,28.5,2011-08-18 08:49:00,2011-08-18 08:49:00,1,5130.0
12689,72,1247.61,17.33,2011-08-04 10:04:00,2011-11-14 08:31:00,101,21.39
12690,16,389.01,24.31,2011-05-18 09:09:00,2011-05-18 09:09:00,1,480.0
12691,32,1035.8,32.37,2010-12-17 14:46:00,2011-11-11 16:49:00,329,2.92
12693,39,855.91,21.95,2011-01-24 12:58:00,2011-08-04 17:51:00,192,6.09
12694,37,869.67,23.5,2011-06-09 17:48:00,2011-09-30 13:06:00,112,9.91
12695,27,582.1,21.56,2011-05-13 13:15:00,2011-12-02 13:22:00,203,3.99
12697,41,957.59,23.36,2011-06-23 15:44:00,2011-11-11 08:47:00,140,8.79
12700,268,4939.99,18.43,2011-05-08 16:10:00,2011-12-02 10:47:00,207,38.84
12701,53,797.71,15.05,2011-04-11 13:02:00,2011-09-21 10:47:00,162,9.81
12702,12,219.0,18.25,2011-11-20 10:36:00,2011-11-20 10:36:00,1,360.0
12703,21,283.55,13.5,2011-09-29 17:52:00,2011-09-29 17:52:00,1,630.0
12704,88,2340.84,26.6,2011-06-23 10:20:00,2011-12-02 13:15:00,162,16.3
12705,334,6868.29,20.56,2010-12-17 15:58:00,2011-11-24 13:17:00,341,29.38
12707,33,603.42,18.29,2011-02-21 08:38:00,2011-02-21 08:38:00,1,990.0
12708,157,2712.91,17.28,2010-12-06 10:43:00,2011-11-10 09:52:00,338,13.93
12709,208,9736.52,46.81,2010-12-08 09:49:00,2011-11-24 15:38:00,351,17.78
12710,77,1149.02,14.92,2011-05-22 14:05:00,2011-09-04 12:00:00,104,22.21
12712,133,4396.13,33.05,2010-12-03 14:30:00,2011-11-11 08:19:00,342,11.67
12713,38,848.55,22.33,2011-12-09 12:16:00,2011-12-09 12:16:00,1,1140.0
12714,259,4708.86,18.18,2011-02-18 10:53:00,2011-11-30 15:43:00,285,27.26
12715,21,353.86,16.85,2011-08-25 15:22:00,2011-08-25 15:22:00,1,630.0
12716,69,1053.49,15.27,2011-07-29 13:28:00,2011-12-06 08:55:00,129,16.05
12717,55,1030.98,18.75,2011-04-08 10:32:00,2011-07-11 14:47:00,94,17.55
12718,19,238.25,12.54,2011-09-29 16:38:00,2011-09-29 16:38:00,1,570.0
12719,39,644.95,16.54,2011-10-05 14:50:00,2011-12-04 13:45:00,59,19.83
