CustomerID,order_count,total_spend,avg_order_value,first_purchase,last_purchase,customer_lifespan,purchase_frequency,Segment,total_spend_mean,total_spend_count,purchase_frequency_mean,customer_lifespan_mean,Segment_Label
12380,104,2724.81,26.2,2011-06-07 09:49:00,2011-11-18 11:27:00,164,19.02,0,3180.78,1865,16.36,267.89,High Value Irregular
12381,87,1845.31,21.21,2011-08-12 09:57:00,2011-12-05 12:44:00,115,22.7,1,610.78,2179,273.52,29.71,Low Value Irregular
12383,99,1850.56,18.69,2010-12-22 14:28:00,2011-06-08 08:02:00,167,17.78,0,3180.78,1865,16.36,267.89,High Value Irregular
12384,27,585.27,21.68,2011-08-10 11:23:00,2011-11-11 08:39:00,92,8.8,1,610.78,2179,273.52,29.71,Low Value Irregular
12386,10,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,29,10.34,1,610.78,2179,273.52,29.71,Low Value Irregular
12388,100,2780.66,27.81,2011-01-17 11:12:00,2011-11-24 12:30:00,311,9.65,0,3180.78,1865,16.36,267.89,High Value Irregular
12390,32,549.84,17.18,2011-09-21 09:33:00,2011-09-21 09:33:00,1,960.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12391,100,460.89,4.61,2011-11-18 12:07:00,2011-11-18 12:07:00,1,3000.0,2,938.09,286,1936.3,1.37,Low Value Regular
12393,64,1582.6,24.73,2011-01-11 09:47:00,2011-09-28 15:41:00,260,7.38,0,3180.78,1865,16.36,267.89,High Value Irregular
12394,27,1272.48,47.13,2011-05-06 14:01:00,2011-10-07 08:08:00,153,5.29,0,3180.78,1865,16.36,267.89,High Value Irregular
12395,156,3018.63,19.35,2010-12-03 16:35:00,2011-11-20 15:21:00,351,13.33,0,3180.78,1865,16.36,267.89,High Value Irregular
12397,126,2409.9,19.13,2011-07-27 14:21:00,2011-11-04 09:52:00,99,38.18,1,610.78,2179,273.52,29.71,Low Value Irregular
12398,85,1635.66,19.24,2011-10-25 10:27:00,2011-10-25 10:27:00,1,2550.0,2,938.09,286,1936.3,1.37,Low Value Regular
12399,59,1108.65,18.79,2011-03-23 09:42:00,2011-08-12 13:15:00,142,12.46,1,610.78,2179,273.52,29.71,Low Value Irregular
12401,5,84.3,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,1,150.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12402,11,225.6,20.51,2011-01-20 13:49:00,2011-01-20 13:49:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12403,5,427.7,85.54,2011-10-21 10:51:00,2011-10-21 10:51:00,1,150.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12405,54,1710.39,31.67,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1620.0,2,938.09,286,1936.3,1.37,Low Value Regular
12406,105,3415.3,32.53,2011-06-09 10:23:00,2011-11-17 19:22:00,161,19.57,0,3180.78,1865,16.36,267.89,High Value Irregular
12407,77,1708.12,22.18,2011-03-20 13:21:00,2011-10-21 10:11:00,214,10.79,0,3180.78,1865,16.36,267.89,High Value Irregular
12408,105,2888.55,27.51,2011-03-24 14:46:00,2011-11-07 12:27:00,227,13.88,0,3180.78,1865,16.36,267.89,High Value Irregular
12409,109,11072.67,101.58,2011-06-10 12:19:00,2011-09-22 10:38:00,103,31.75,1,610.78,2179,273.52,29.71,Low Value Irregular
12410,26,693.33,26.67,2011-02-04 10:38:00,2011-02-04 10:39:00,1,780.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12412,61,1226.88,20.11,2011-06-23 13:51:00,2011-09-26 10:16:00,94,19.47,1,610.78,2179,273.52,29.71,Low Value Irregular
12413,38,758.1,19.95,2011-01-06 16:12:00,2011-10-04 09:00:00,270,4.22,0,3180.78,1865,16.36,267.89,High Value Irregular
12414,18,562.41,31.25,2011-02-02 14:51:00,2011-05-06 14:51:00,93,5.81,1,610.78,2179,273.52,29.71,Low Value Irregular
12415,714,124914.53,174.95,2011-01-06 11:12:00,2011-11-15 14:22:00,313,68.43,3,172508.53,8,120.11,337.25,High Value Regular
12417,192,3649.1,19.01,2010-12-17 11:51:00,2011-12-06 14:52:00,354,16.27,0,3180.78,1865,16.36,267.89,High Value Irregular
12418,34,668.58,19.66,2011-08-19 11:08:00,2011-08-19 11:08:00,1,1020.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12420,29,600.39,20.7,2011-10-07 08:55:00,2011-10-07 08:55:00,1,870.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12421,45,807.04,17.93,2011-01-24 15:09:00,2011-11-24 09:07:00,303,4.46,0,3180.78,1865,16.36,267.89,High Value Irregular
12422,39,803.56,20.6,2011-01-19 09:13:00,2011-09-05 09:48:00,229,5.11,0,3180.78,1865,16.36,267.89,High Value Irregular
12423,125,1859.31,14.87,2010-12-21 10:54:00,2011-12-09 10:10:00,352,10.65,0,3180.78,1865,16.36,267.89,High Value Irregular
12424,30,1760.96,58.7,2011-06-30 12:06:00,2011-06-30 12:06:00,1,900.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12425,36,777.2,21.59,2011-09-22 17:31:00,2011-09-22 17:31:00,1,1080.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12426,30,582.73,19.42,2011-05-29 12:26:00,2011-05-29 12:26:00,1,900.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12427,31,825.8,26.64,2010-12-03 10:44:00,2011-11-18 08:56:00,349,2.66,0,3180.78,1865,16.36,267.89,High Value Irregular
12428,294,7956.46,27.06,2011-03-01 09:33:00,2011-11-14 08:22:00,257,34.32,0,3180.78,1865,16.36,267.89,High Value Irregular
12429,97,3750.4,38.66,2010-12-09 12:05:00,2011-11-30 17:22:00,356,8.17,0,3180.78,1865,16.36,267.89,High Value Irregular
12430,11,256.4,23.31,2011-10-27 15:09:00,2011-10-27 15:09:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12431,235,6487.45,27.61,2010-12-01 10:03:00,2011-11-04 11:55:00,338,20.86,0,3180.78,1865,16.36,267.89,High Value Irregular
12432,108,5059.32,46.85,2011-06-20 13:27:00,2011-10-28 11:43:00,129,25.12,1,610.78,2179,273.52,29.71,Low Value Irregular
12433,420,13375.87,31.85,2010-12-01 13:24:00,2011-12-09 10:02:00,372,33.87,0,3180.78,1865,16.36,267.89,High Value Irregular
12434,50,806.14,16.12,2011-03-24 13:05:00,2011-09-16 12:38:00,175,8.57,0,3180.78,1865,16.36,267.89,High Value Irregular
12435,36,7829.89,217.5,2011-03-17 07:40:00,2011-09-21 09:06:00,188,5.74,0,3180.78,1865,16.36,267.89,High Value Irregular
12436,16,509.01,31.81,2011-09-01 12:09:00,2011-09-01 12:09:00,1,480.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12437,199,4951.41,24.88,2011-01-12 14:13:00,2011-12-08 11:35:00,329,18.15,0,3180.78,1865,16.36,267.89,High Value Irregular
12438,98,2906.85,29.66,2011-07-22 13:29:00,2011-11-25 13:28:00,125,23.52,1,610.78,2179,273.52,29.71,Low Value Irregular
12441,11,173.55,15.78,2010-12-08 10:45:00,2010-12-08 10:45:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12442,12,172.06,14.34,2011-12-06 14:22:00,2011-12-06 14:22:00,1,360.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12444,176,5005.46,28.44,2011-06-21 14:00:00,2011-11-18 13:23:00,149,35.44,0,3180.78,1865,16.36,267.89,High Value Irregular
12445,4,133.4,33.35,2011-11-17 18:43:00,2011-11-17 18:43:00,1,120.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12446,57,1002.31,17.58,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1710.0,2,938.09,286,1936.3,1.37,Low Value Regular
12447,26,476.49,18.33,2011-04-10 13:25:00,2011-04-10 13:25:00,1,780.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12448,22,449.45,20.43,2011-10-26 13:46:00,2011-10-26 13:46:00,1,660.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12449,191,4067.29,21.29,2011-06-05 15:37:00,2011-11-17 13:46:00,164,34.94,0,3180.78,1865,16.36,267.89,High Value Irregular
12450,8,197.88,24.74,2011-06-19 14:36:00,2011-07-06 14:41:00,17,14.12,1,610.78,2179,273.52,29.71,Low Value Irregular
12451,354,9035.52,25.52,2011-01-19 09:05:00,2011-11-29 08:40:00,313,33.93,0,3180.78,1865,16.36,267.89,High Value Irregular
12452,22,430.57,19.57,2011-11-23 08:05:00,2011-11-23 10:28:00,1,660.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12453,43,707.09,16.44,2011-07-28 14:08:00,2011-07-28 14:08:00,1,1290.0,2,938.09,286,1936.3,1.37,Low Value Regular
12454,15,3528.34,235.22,2011-10-14 17:13:00,2011-10-14 17:13:00,1,450.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12455,90,2466.86,27.41,2011-02-16 09:56:00,2011-09-27 15:31:00,223,12.11,0,3180.78,1865,16.36,267.89,High Value Irregular
12456,125,3181.04,25.45,2011-03-30 09:12:00,2011-10-26 14:41:00,210,17.86,0,3180.78,1865,16.36,267.89,High Value Irregular
12457,62,2363.23,38.12,2011-04-14 18:57:00,2011-10-04 13:13:00,172,10.81,0,3180.78,1865,16.36,267.89,High Value Irregular
12458,38,947.4,24.93,2011-02-28 10:55:00,2011-09-29 15:25:00,213,5.35,0,3180.78,1865,16.36,267.89,High Value Irregular
12461,35,826.88,23.63,2011-07-08 10:23:00,2011-09-06 16:57:00,60,17.5,1,610.78,2179,273.52,29.71,Low Value Irregular
12462,62,1189.59,19.19,2011-02-09 14:44:00,2011-11-21 09:11:00,284,6.55,0,3180.78,1865,16.36,267.89,High Value Irregular
12463,83,1344.78,16.2,2011-04-12 12:47:00,2011-10-17 13:44:00,188,13.24,0,3180.78,1865,16.36,267.89,High Value Irregular
12464,29,1212.05,41.79,2011-02-03 13:30:00,2011-11-29 13:33:00,299,2.91,0,3180.78,1865,16.36,267.89,High Value Irregular
12465,47,742.19,15.79,2011-06-23 13:37:00,2011-11-22 16:34:00,152,9.28,0,3180.78,1865,16.36,267.89,High Value Irregular
12468,38,729.54,19.2,2011-01-27 13:29:00,2011-06-05 11:36:00,128,8.91,1,610.78,2179,273.52,29.71,Low Value Irregular
12471,460,19824.05,43.1,2010-12-10 09:35:00,2011-12-07 15:43:00,362,38.12,0,3180.78,1865,16.36,267.89,High Value Irregular
12472,339,6572.11,19.39,2010-12-05 14:19:00,2011-11-07 14:01:00,336,30.27,0,3180.78,1865,16.36,267.89,High Value Irregular
12473,168,3938.55,23.44,2011-06-01 10:15:00,2011-11-10 13:46:00,162,31.11,0,3180.78,1865,16.36,267.89,High Value Irregular
12474,424,7375.79,17.4,2011-01-14 10:06:00,2011-11-22 14:39:00,312,40.77,0,3180.78,1865,16.36,267.89,High Value Irregular
12475,36,723.38,20.09,2011-10-17 10:10:00,2011-10-17 10:10:00,1,1080.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12476,233,6816.42,29.26,2010-12-13 14:39:00,2011-11-24 12:40:00,345,20.26,0,3180.78,1865,16.36,267.89,High Value Irregular
12477,300,13219.74,44.07,2011-02-11 12:45:00,2011-11-17 09:51:00,278,32.37,0,3180.78,1865,16.36,267.89,High Value Irregular
12478,36,680.99,18.92,2011-12-06 09:56:00,2011-12-06 09:56:00,1,1080.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12479,31,527.2,17.01,2011-11-28 13:26:00,2011-11-28 13:26:00,1,930.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12480,154,3281.63,21.31,2011-01-07 15:27:00,2011-11-11 14:52:00,307,15.05,0,3180.78,1865,16.36,267.89,High Value Irregular
12481,217,5596.32,25.79,2010-12-09 10:13:00,2011-11-17 08:29:00,342,19.04,0,3180.78,1865,16.36,267.89,High Value Irregular
12483,75,2484.98,33.13,2011-01-04 14:20:00,2011-11-22 17:02:00,322,6.99,0,3180.78,1865,16.36,267.89,High Value Irregular
12484,346,4541.72,13.13,2011-01-07 14:04:00,2011-11-07 11:37:00,303,34.26,0,3180.78,1865,16.36,267.89,High Value Irregular
12488,55,1298.66,23.61,2011-09-25 10:34:00,2011-11-30 08:50:00,65,25.38,1,610.78,2179,273.52,29.71,Low Value Irregular
12489,15,334.93,22.33,2011-01-07 13:13:00,2011-01-07 13:13:00,1,450.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12490,245,5417.93,22.11,2011-01-14 09:13:00,2011-12-04 16:07:00,324,22.69,0,3180.78,1865,16.36,267.89,High Value Irregular
12491,26,460.4,17.71,2011-11-01 12:18:00,2011-11-01 12:18:00,1,780.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12492,20,263.21,13.16,2011-08-26 14:51:00,2011-10-07 15:15:00,42,14.29,1,610.78,2179,273.52,29.71,Low Value Irregular
12493,22,433.74,19.72,2011-05-26 14:53:00,2011-06-27 10:17:00,31,21.29,1,610.78,2179,273.52,29.71,Low Value Irregular
12494,77,1246.1,16.18,2010-12-09 11:31:00,2011-11-24 09:34:00,349,6.62,0,3180.78,1865,16.36,267.89,High Value Irregular
12497,14,1043.1,74.51,2011-09-19 12:29:00,2011-09-19 12:29:00,1,420.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12498,23,403.7,17.55,2011-10-13 09:30:00,2011-11-18 12:53:00,36,19.17,1,610.78,2179,273.52,29.71,Low Value Irregular
12500,61,4257.82,69.8,2011-01-10 09:48:00,2011-11-16 16:20:00,310,5.9,0,3180.78,1865,16.36,267.89,High Value Irregular
12501,149,2169.39,14.56,2011-01-07 12:28:00,2011-01-07 12:28:00,1,4470.0,2,938.09,286,1936.3,1.37,Low Value Regular
12502,147,3723.87,25.33,2011-02-03 10:41:00,2011-09-05 11:52:00,214,20.61,0,3180.78,1865,16.36,267.89,High Value Irregular
12504,9,482.05,53.56,2011-11-09 14:56:00,2011-11-21 16:02:00,12,22.5,1,610.78,2179,273.52,29.71,Low Value Irregular
12506,23,73.5,3.2,2011-04-21 08:54:00,2011-04-21 08:54:00,1,690.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12507,21,1304.81,62.13,2011-02-14 09:24:00,2011-07-28 17:09:00,164,3.84,0,3180.78,1865,16.36,267.89,High Value Irregular
12508,69,398.27,5.77,2011-11-10 16:27:00,2011-11-13 15:37:00,2,1035.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12509,7,176.5,25.21,2011-02-28 14:45:00,2011-02-28 14:45:00,1,210.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12510,33,982.57,29.77,2011-01-18 14:04:00,2011-07-20 10:15:00,182,5.44,0,3180.78,1865,16.36,267.89,High Value Irregular
12512,34,138.03,4.06,2011-10-04 14:53:00,2011-10-04 14:55:00,1,1020.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12513,35,612.29,17.49,2011-08-19 10:51:00,2011-08-19 10:51:00,1,1050.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12514,51,1017.68,19.95,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1530.0,2,938.09,286,1936.3,1.37,Low Value Regular
12515,16,383.7,23.98,2010-12-21 15:43:00,2010-12-21 15:43:00,1,480.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12516,26,1312.06,50.46,2011-06-12 11:37:00,2011-09-23 09:13:00,102,7.65,1,610.78,2179,273.52,29.71,Low Value Irregular
12517,284,2502.84,8.81,2011-06-02 15:13:00,2011-11-11 14:04:00,161,52.92,0,3180.78,1865,16.36,267.89,High Value Irregular
12518,124,2056.89,16.59,2011-08-21 13:18:00,2011-12-09 10:13:00,109,34.13,1,610.78,2179,273.52,29.71,Low Value Irregular
12519,18,340.84,18.94,2011-10-07 09:26:00,2011-10-07 09:26:00,1,540.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12520,152,2634.26,17.33,2011-03-11 11:35:00,2011-09-21 15:23:00,194,23.51,0,3180.78,1865,16.36,267.89,High Value Irregular
12521,38,599.68,15.78,2011-07-20 10:51:00,2011-07-20 10:51:00,1,1140.0,2,938.09,286,1936.3,1.37,Low Value Regular
12522,12,192.72,16.06,2011-10-19 14:41:00,2011-10-31 15:30:00,12,30.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12523,106,1789.77,16.88,2011-01-12 09:43:00,2011-11-20 12:55:00,312,10.19,0,3180.78,1865,16.36,267.89,High Value Irregular
12524,144,4485.72,31.15,2011-01-10 10:35:00,2011-11-30 15:31:00,324,13.33,0,3180.78,1865,16.36,267.89,High Value Irregular
12526,71,1316.66,18.54,2011-09-06 14:19:00,2011-12-09 12:09:00,93,22.9,1,610.78,2179,273.52,29.71,Low Value Irregular
12527,18,348.71,19.37,2011-01-18 12:05:00,2011-09-19 11:55:00,243,2.22,0,3180.78,1865,16.36,267.89,High Value Irregular
12528,92,1933.48,21.02,2011-01-31 09:05:00,2011-11-30 14:40:00,303,9.11,0,3180.78,1865,16.36,267.89,High Value Irregular
12530,66,1662.28,25.19,2011-01-07 10:04:00,2011-10-11 12:34:00,277,7.15,0,3180.78,1865,16.36,267.89,High Value Irregular
12531,17,125.22,7.37,2011-11-25 11:12:00,2011-11-25 11:12:00,1,510.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12532,16,349.83,21.86,2011-11-09 13:47:00,2011-11-09 13:47:00,1,480.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12534,63,1089.18,17.29,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1890.0,2,938.09,286,1936.3,1.37,Low Value Regular
12535,34,716.35,21.07,2011-06-06 12:47:00,2011-09-09 08:48:00,94,10.85,1,610.78,2179,273.52,29.71,Low Value Irregular
12536,261,12601.83,48.28,2011-10-11 14:52:00,2011-10-27 14:20:00,15,522.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12538,21,363.95,17.33,2011-11-10 17:16:00,2011-11-10 17:16:00,1,630.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12539,273,5568.35,20.4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,26.33,0,3180.78,1865,16.36,267.89,High Value Irregular
12540,478,13400.24,28.03,2010-12-13 09:39:00,2011-11-20 11:31:00,342,41.93,0,3180.78,1865,16.36,267.89,High Value Irregular
12541,52,981.18,18.87,2011-03-04 09:32:00,2011-11-10 10:40:00,251,6.22,0,3180.78,1865,16.36,267.89,High Value Irregular
12544,19,372.7,19.62,2011-11-03 16:15:00,2011-11-03 16:15:00,1,570.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12545,50,1000.39,20.01,2011-03-25 12:04:00,2011-09-25 13:39:00,184,8.15,0,3180.78,1865,16.36,267.89,High Value Irregular
12546,69,1161.5,16.83,2011-09-23 09:44:00,2011-10-24 12:09:00,31,66.77,1,610.78,2179,273.52,29.71,Low Value Irregular
12547,8,207.8,25.98,2011-03-04 12:46:00,2011-05-26 12:38:00,82,2.93,1,610.78,2179,273.52,29.71,Low Value Irregular
12548,5,95.2,19.04,2011-06-26 15:35:00,2011-06-26 15:35:00,1,150.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12550,57,964.83,16.93,2011-09-21 14:35:00,2011-09-21 14:35:00,1,1710.0,2,938.09,286,1936.3,1.37,Low Value Regular
12551,10,168.0,16.8,2010-12-17 11:23:00,2010-12-17 11:23:00,1,300.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12552,20,437.82,21.89,2011-10-31 12:11:00,2011-11-01 10:02:00,1,600.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12553,191,3692.28,19.33,2011-01-14 10:42:00,2011-12-01 16:38:00,321,17.85,0,3180.78,1865,16.36,267.89,High Value Irregular
12556,121,603.71,4.99,2011-07-11 13:35:00,2011-10-20 13:06:00,100,36.3,1,610.78,2179,273.52,29.71,Low Value Irregular
12557,33,11990.96,363.36,2010-12-03 12:20:00,2011-11-23 16:59:00,355,2.79,0,3180.78,1865,16.36,267.89,High Value Irregular
12558,11,269.96,24.54,2011-12-02 10:41:00,2011-12-02 10:41:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12559,21,561.71,26.75,2011-01-24 10:12:00,2011-02-02 09:49:00,8,78.75,1,610.78,2179,273.52,29.71,Low Value Irregular
12560,105,2134.01,20.32,2011-07-19 15:55:00,2011-12-04 13:54:00,137,22.99,1,610.78,2179,273.52,29.71,Low Value Irregular
12561,16,238.85,14.93,2011-02-10 11:39:00,2011-02-10 11:39:00,1,480.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12562,168,3781.74,22.51,2011-05-25 12:44:00,2011-12-01 17:20:00,190,26.53,0,3180.78,1865,16.36,267.89,High Value Irregular
12564,21,456.9,21.76,2011-03-23 14:55:00,2011-03-23 14:55:00,1,630.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12565,9,145.92,16.21,2011-02-24 10:34:00,2011-02-24 10:34:00,1,270.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12566,19,351.65,18.51,2011-09-14 14:30:00,2011-09-14 14:30:00,1,570.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12567,446,9401.28,21.08,2010-12-05 11:57:00,2011-11-17 11:02:00,346,38.67,0,3180.78,1865,16.36,267.89,High Value Irregular
12569,188,4124.69,21.94,2011-04-01 13:47:00,2011-12-07 16:24:00,250,22.56,0,3180.78,1865,16.36,267.89,High Value Irregular
12571,34,519.61,15.28,2011-08-10 12:35:00,2011-10-31 10:19:00,81,12.59,1,610.78,2179,273.52,29.71,Low Value Irregular
12572,60,1020.42,17.01,2011-10-19 08:20:00,2011-12-01 09:20:00,43,41.86,1,610.78,2179,273.52,29.71,Low Value Irregular
12573,28,160.54,5.73,2011-04-26 15:52:00,2011-04-26 15:52:00,1,840.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12574,11,218.45,19.86,2011-01-28 09:20:00,2011-01-28 09:20:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12576,88,1315.83,14.95,2011-02-08 11:31:00,2011-11-04 10:11:00,268,9.85,0,3180.78,1865,16.36,267.89,High Value Irregular
12577,147,657.8,4.47,2010-12-15 16:21:00,2011-11-04 13:24:00,323,13.65,0,3180.78,1865,16.36,267.89,High Value Irregular
12578,114,2794.51,24.51,2011-01-13 15:34:00,2011-11-18 13:30:00,308,11.1,0,3180.78,1865,16.36,267.89,High Value Irregular
12579,29,440.42,15.19,2011-09-22 17:15:00,2011-09-22 17:15:00,1,870.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12580,24,415.7,17.32,2011-04-07 10:24:00,2011-04-07 10:24:00,1,720.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12581,15,197.71,13.18,2011-10-31 08:56:00,2011-10-31 08:56:00,1,450.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12582,22,511.36,23.24,2011-02-24 11:42:00,2011-04-15 08:45:00,49,13.47,1,610.78,2179,273.52,29.71,Low Value Irregular
12583,247,7281.38,29.48,2010-12-01 08:45:00,2011-12-07 08:07:00,370,20.03,0,3180.78,1865,16.36,267.89,High Value Irregular
12584,96,2338.15,24.36,2011-03-04 15:15:00,2011-12-06 09:35:00,276,10.43,0,3180.78,1865,16.36,267.89,High Value Irregular
12585,87,2040.1,23.45,2010-12-23 12:58:00,2011-04-19 13:39:00,117,22.31,1,610.78,2179,273.52,29.71,Low Value Irregular
